rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,PXA.AX,PEXA GROUP LTD,6.68,1175253888,-17.43,-17.53,-9.97,10.0,1D <= -7.0%; 5D <= -12.0%,downgrade,Pexa Group (ASX:PXA): What's Behind the Property Settlement Platform's Steep Slide - Kalkine | PEXA Group jumps to FY26 profit as revenue and EBITDA lift - The Motley Fool Australia | Earnings To Watch: PEXA Group Ltd (ASX:PXA) Q4 2026 -- GF Value Sees 114% Upside - Yahoo Finance | Undervalued ASX share retains wide moat rating despite regulatory pressures - Morningstar Australia | PEXA Shares Hit All-Time Low as Downgrade Fuels Bears - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,10.05,2228106752,-8.72,12.92,50.22,0.99,1D <= -7.0%,,Electro Optic Systems half-year earnings surge on booming defence demand - The Motley Fool Australia | Why Electro Optic Systems’ (ASX:EOS) Shares Are Down Today? - Kalkine | Electro Optic Systems (ASX:EOS) Is Down 17.1% After A$40m Equity Raise And New Laser Export Contract - simplywall.st | New Counter-Drone Order (US$124m) and Middle East JV for Laser Weapons and RWS - Electro Optic Systems | Electro Optic Systems (ASX:EOS) stock recovers but stays under A$8 placement level - TechStock²,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,56.2,1448483712,-8.54,-6.8,-6.95,2.13,1D <= -7.0%,,Macquarie Technology Group (ASX:MAQ) Shares Confront Margin Squeeze And Cash Quality Doubts - simplywall.st | What Could Put Macquarie Technology Group (ASX:MAQ) Back in the Midcap View? - Kalkine Media | The ASX data center stock flying under the radar - Morningstar Australia | Why Macquarie Technology is one of the most interesting AI infrastructure plays on the ASX - The Motley Fool Australia | Macquarie Technology Group (ASX:MAQ): Should You Keep This Stock on Radar? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,EQT.AX,EQT HOLDINGS LTD,19.47,521661824,-7.2,-11.9,15.55,2.33,1D <= -7.0%,,"EQT Holdings (ASX:EQT) Stock Drops: Why Investors Are Selling - Kalkine | TPG bids $468 million for Australia's EQT; stock logs best day in 41 years - Reuters | Top ASX Dividend Stocks To Consider In August 2026 - simplywall.st | EQT Holdings FY26 Financial Results Announced Amid Competing Takeover Offers from TPG and BGH Capital - Kalkine Media | ASX Sell-Off Watch: Solstice Minerals, Chorus and EQT Holdings All Slide - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,SIQ.AX,SMARTGROUP CORP LTD,10.56,1372567552,-6.55,-17.88,-17.56,2.6,5D <= -12.0%,,"Smartgroup Corporation (ASX:SIQ) Delivers Record H1 2026 as EBITDA Climbs 16% - Kalkine | Guess which ASX 300 stock is outperforming today on $20 million buyback news - The Motley Fool Australia | Insights: Smartgroup Corporation Ltd (ASX:SIQ) - smallcaps.com.au | SIQ Forecast — Price Target — Prediction for 2027 - TradingView | Smartgroup Corporation Ltd (AX: SIQ) Share Price, SIQ Stock News, SIQ Share Price & Updates - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,MFG.AX,MAGELLAN FINANCIAL GROUP LTD,9.05,2648101632,-4.74,-13.56,-5.24,3.74,5D <= -12.0%,,"Why Is Magellan Financial Group (ASX:MFG) Stock Down 14% Today? - Kalkine | Magellan Financial Group (ASX:MFG) Shares Sink As Fee Compression Deepens - simplywall.st | Magellan Financial Group posts FY26 earnings; to rebrand as Barrenjoey - The Motley Fool Australia | Magellan Financial Shares Today’s ASX 200 Laggard, But What Lay Ahead? - thebull.com.au | Magellan Financial Group (ASX:MFG) Reports 47% Drop in Net Profit - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,MAD.AX,MADER GROUP LTD,6.15,1251289600,-3.61,-13.01,-10.87,1.51,5D <= -12.0%,,Mader Group (ASX:MAD) Shares Sit Below Fair Value After Record Revenue - simplywall.st | Mader Group (ASX:MAD) Ends Lower as Investors Look Beyond the Daily Market Move - Kalkine | MAD Forecast — Price Target — Prediction for 2027 - TradingView | Record FY26 Profitability and EPS Lift Could Be A Game Changer For Mader Group (ASX:MAD) - simplywall.st | This ASX industrials stock just jumped 4% in a single day and is tipped to keep climbing - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,INA.AX,INGENIA COMMUNITIES GROUP,3.69,1503982208,-2.95,-12.29,-14.49,3.13,5D <= -12.0%,,"Ingenia Communities (ASX:INA): Can the Peet Deal Reshape Its Long-Term Growth Story? - Kalkine | Ingenia Communities Group (ASX:INA) Shares Chase One Off Profit Glow - simplywall.st | Ingenia Communities lodges 2026 corporate governance statement with ASX - The Globe and Mail | Ingenia Communities Group (ASX:INA) Agrees to Acquire Peet Limited to Build a National Living Sector Platform - Kalkine | Ingenia Communities (ASX:INA) Earnings Spark Buzz, But What's Really Driving the Momentum? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,ABB.AX,AUSSIE BROADBAND LTD,4.36,1375253248,-1.58,-13.66,-8.6,0.83,5D <= -12.0%,,"Aussie Broadband Limited (ASX:ABB) Passed Our Checks, And It's About To Pay A AU$0.036 Dividend - simplywall.st | Aussie Broadband (ASX:ABB): Head & Shoulders Breakdown Signals Further Downside Risk - Kalkine | All Ordinaries: Is Aussie Broadband (ASX:ABB) Back in Focus? - Kalkine Media | Aussie Broadband (ASX:ABB) Shares Are Dropping Today. Here's What's Happening - Kalkine | Aussie Broadband Limited announces an Equity Buyback for 29,257,604 shares, representing 9.28% for AUD 115 million. - marketscreener.com",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,GDG.AX,GENERATION DEVELOPMENT GROUP,3.2,1279736064,-1.54,-16.01,-22.14,2.73,5D <= -12.0%; 20D <= -20.0%,,Generation Development Group (ASX:GDG) Shares Drift As FUM Strength Meets Thin Margins - simplywall.st | Generation Development Group (ASX:GDG) Faces Market Pressure Despite Record FY26 Growth - Kalkine | Generation Development Group FY26 earnings: Record inflows and FUM growth - The Motley Fool Australia | Generation Development Group (ASX:GDG) FY26 NPAT Rises 21% and FUM Reaches $46.5 Billion - Kalkine | Generation Development Group Shares Lag The ASX 200 Today – The Latest - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
