ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-23
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-23
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-23
WBC.AX,WESTPAC BANKING CORP,2026-09-23
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-23
CSL.AX,CSL LTD,2026-09-23
MQG.AX,MACQUARIE GROUP LTD,2026-09-23
WES.AX,WESFARMERS LTD,2026-09-23
RIO.AX,RIO TINTO LTD,2026-09-23
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-23
TLS.AX,TELSTRA GROUP LTD,2026-09-23
GMG.AX,GOODMAN GROUP,2026-09-23
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-23
TCL.AX,TRANSURBAN GROUP,2026-09-23
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-23
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-23
COL.AX,COLES GROUP LTD,2026-09-23
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-23
STO.AX,SANTOS LTD,2026-09-23
EVN.AX,EVOLUTION MINING LTD,2026-09-23
FMG.AX,FORTESCUE LTD,2026-09-23
BXB.AX,BRAMBLES LTD,2026-09-23
CPU.AX,COMPUTERSHARE LTD,2026-09-23
S32.AX,SOUTH32 LTD,2026-09-23
SUN.AX,SUNCORP GROUP LTD,2026-09-23
ORG.AX,ORIGIN ENERGY LTD,2026-09-23
SCG.AX,SCENTRE GROUP,2026-09-23
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-23
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-23
APA.AX,APA GROUP,2026-09-23
QAN.AX,QANTAS AIRWAYS LTD,2026-09-23
PLS.AX,PLS GROUP LTD,2026-09-23
BSL.AX,BLUESCOPE STEEL LTD,2026-09-23
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-23
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-23
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-23
ASX.AX,ASX LTD,2026-09-23
ALQ.AX,ALS LTD,2026-09-23
ORI.AX,ORICA LTD,2026-09-23
ALD.AX,AMPOL LTD,2026-09-23
TLC.AX,LOTTERY CORP LTD/THE,2026-09-23
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-23
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-23
SGP.AX,STOCKLAND,2026-09-23
XRO.AX,XERO LTD,2026-09-23
COH.AX,COCHLEAR LTD,2026-09-23
SHL.AX,SONIC HEALTHCARE LTD,2026-09-23
VCX.AX,VICINITY CENTRES,2026-09-23
MIN.AX,MINERAL RESOURCES LTD,2026-09-23
PRU.AX,PERSEUS MINING LTD,2026-09-23
