rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,PNI.AX,PINNACLE INVESTMENT MANAGEME,16.06,3870219008.0,-6.41,-8.35,-1.03,0.12,1D <= -4.0%; 5D <= -8.0%,,Pinnacle Investment Management Group Ltd (ASX:PNI) Upcoming Dividend: Key Dates and Details Explained - Kalkine | 3 Australian Founder Led Stocks Built For Higher Rates - simplywall.st | Pinnacle Investment Management (ASX:PNI) Expands Global Asset Management Platform Through Affiliate Growth - Kalkine | Pinnacle (ASX:PNI) Shares Near Fair Value After One Off Boost - simplywall.st | Pinnacle Investment Management (ASX:PNI) Shares Under Spotlight as Funds Management Trends Evolve - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,APE.AX,EAGERS AUTOMOTIVE LTD,21.08,5952208896.0,-6.31,-4.49,-11.61,0.18,1D <= -4.0%,,Read This Before Considering Eagers Automotive Limited (ASX:APE) For Its Upcoming AU$0.25 Dividend - simplywall.st | Eagers Automotive Limited (ASX:APE): The Dividend Detail to Watch - Kalkine Media | Eagers Automotive (ASX:APE): ASX Auto Retail Stock Returns to Investor Watchlists - Kalkine | Why are Eagers Automotive shares tumbling on Wednesday? - The Motley Fool Australia | Can Eagers Automotive (ASX:APE) Sustain Its Dividend Appeal? - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,PNR.AX,PANTORO GOLD LTD,2.71,1056160320.0,-5.9,4.63,34.16,0.1,1D <= -4.0%,,"Pantoro Gold (ASX:PNR) Rises 10% as Norseman Reset Targets Better FY27 Delivery - Kalkine | This ASX gold stock just crashed 20%. Here's why investors are selling - The Motley Fool Australia | Pantoro Gold (ASX:PNR) Updates Norseman Story At Diggers & Dealers – Has The Thesis Shifted? - simplywall.st | Pantoro Gold Ltd (ASX:PNR) Rises on 17 August 2026 — Keep It on Your Radar? - Kalkine | Is this ASX gold stock a buy, hold or sell after its quarterly results? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,DVP.AX,DEVELOP GLOBAL LTD,5.43,1791821056.0,-5.89,3.63,14.08,0.06,1D <= -4.0%,,Develop Global (ASX:DVP) Surges as Woodlawn Expands - Kalkine Media | Develop Global (ASX:DVP) Powers Higher as Mining Stocks Lead the Market - Kalkine | Does Develop Global’s (ASX:DVP) ASX 200 Debut Reframe Its Mining Versus Services Investment Story? - simplywall.st | Develop Global posts record revenue on Woodlawn gains in June quarter - The Motley Fool Australia | Insights: Develop Global Limited (ASX:DVP) - smallcaps.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,FML.AX,FOCUS MINERALS LTD,2.05,586012480.0,-5.76,-8.3,24.32,0.05,1D <= -4.0%; 5D <= -8.0%,,Focus Minerals (ASX:FML) Shares Jump Again as the Coolgardie Gold Rebuild Draws a Second Look - Kalkine | We Think Focus Minerals' (ASX:FML) Profit Is Only A Baseline For What They Can Achieve - simplywall.st | Insights: Focus Minerals Ltd (ASX:FML) - smallcaps.com.au | Why Focus Minerals (ASX: FML) Stock Is Falling Today: Key Factors Behind the Decline - Kalkine | Focus Minerals (ASX: FML) Soars 180% on Profit Breakthrough and Surging Gold Prices - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,MAF.AX,MA FINANCIAL GROUP LTD,5.83,1150095872.0,-5.51,-11.67,5.37,0.28,1D <= -4.0%; 5D <= -8.0%,,"MA Financial Group Ltd (ASX:MAF): What's Behind the Wealth Manager's Share Price Drop - Kalkine | MA Financial Group (ASX:MAF) Shares Trail EPS Surge As Margins Tighten - simplywall.st | MA Financial delivers record 1H26 earnings and lifts dividend - The Motley Fool Australia | MA Financial (ASX:MAF) $14.8bn AUM, $179bn Finsure record and a $1bn quarter for MA Money - Stocks Down Under | MA Financial's (ASX:MAF) Goes Ex-Dividend on 25 August, Stock on Investor’s Watch - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,MSB.AX,MESOBLAST LTD,2.33,3015434240.0,-5.49,-1.06,14.53,0.07,1D <= -4.0%,,Analysts Just Shaved Their Mesoblast Limited (ASX:MSB) Forecasts Dramatically - simplywall.st | Mesoblast Ltd (ASX:MSB) Stock Is on Investors' Radar—Here's Why - Kalkine | Mesoblast share price jumps on blockbuster news - The Motley Fool Australia | Mesoblast Shares Lead ASX 200 Today: The Latest - thebull.com.au | Mesoblast (ASX:MSB) hits 300 patients in the trial that could dwarf Ryoncil - Stocks Down Under,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,CWP.AX,CEDAR WOODS PROPERTIES LTD,6.97,592977984.0,-5.3,-3.19,1.75,0.36,1D <= -4.0%,,Cedar Woods Properties (ASX:CWP) Fully Franked Dividend — Is Property Income Regaining Appeal? - Kalkine | CWP Stock Price and Chart — ASX:CWP - TradingView | Is It Time To Consider Buying Cedar Woods Properties Limited (ASX:CWP)? - Yahoo Finance | Top ASX Dividend Stocks For August 2026 - simplywall.st | Cedar Woods Properties (ASX:CWP) Share Price Gains Ahead of FY26 Results as Presales Support Earnings Outlook - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,FFM.AX,FIREFLY METALS LTD,1.8,1387658624.0,-5.25,-5.0,-2.96,0.13,1D <= -4.0%,,"FireFly Metals Ltd (ASX:FFM) Secures A$180 Million in Equity Raising to Fund Green Bay Copper-Gold Development - Kalkine | FireFly aligns OTC ticker with ASX, TSX code in bid to boost US market visibility - Proactive financial news | Is It Too Late To Consider FireFly Metals (ASX:FFM) After A 113% One-Year Rise? - simplywall.st | Assessing FireFly Metals (ASX:FFM) Valuation After Strong 1 Year Return And Recent Share Price Weakness - Yahoo Finance | Firefly Metals Shares Hit Multi-Year High as Sentiment Shifts: What Has Been Happening? - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,ARB.AX,ARB CORP LTD,18.7,1564443520.0,-5.22,-1.01,-6.31,0.08,1D <= -4.0%,,"Why Are Investors Watching ARB Corporation (ASX:ARB) Shares Closely? - Kalkine | ARB Corp Shares At Lowest Level In Years as Selling Continues - thebull.com.au | Some ARB Corporation Limited (ASX:ARB) Shareholders Look For Exit As Shares Take 25% Pounding - simplywall.st | Brokers agree, ARB Corporation shares are looking seriously cheap - The Motley Fool Australia | Is It Time To Consider Buying ARB Corporation Limited (ASX:ARB)? - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
