ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-16
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-16
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-16
WBC.AX,WESTPAC BANKING CORP,2026-09-16
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-16
MQG.AX,MACQUARIE GROUP LTD,2026-09-16
CSL.AX,CSL LTD,2026-09-16
WES.AX,WESFARMERS LTD,2026-09-16
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-16
RIO.AX,RIO TINTO LTD,2026-09-16
TLS.AX,TELSTRA GROUP LTD,2026-09-16
GMG.AX,GOODMAN GROUP,2026-09-16
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-16
TCL.AX,TRANSURBAN GROUP,2026-09-16
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-16
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-16
COL.AX,COLES GROUP LTD,2026-09-16
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-16
STO.AX,SANTOS LTD,2026-09-16
EVN.AX,EVOLUTION MINING LTD,2026-09-16
FMG.AX,FORTESCUE LTD,2026-09-16
BXB.AX,BRAMBLES LTD,2026-09-16
S32.AX,SOUTH32 LTD,2026-09-16
SUN.AX,SUNCORP GROUP LTD,2026-09-16
CPU.AX,COMPUTERSHARE LTD,2026-09-16
ORG.AX,ORIGIN ENERGY LTD,2026-09-16
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-16
SCG.AX,SCENTRE GROUP,2026-09-16
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-16
PLS.AX,PLS GROUP LTD,2026-09-16
APA.AX,APA GROUP,2026-09-16
QAN.AX,QANTAS AIRWAYS LTD,2026-09-16
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-16
BSL.AX,BLUESCOPE STEEL LTD,2026-09-16
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-16
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-16
XRO.AX,XERO LTD,2026-09-16
ASX.AX,ASX LTD,2026-09-16
TLC.AX,LOTTERY CORP LTD/THE,2026-09-16
ALQ.AX,ALS LTD,2026-09-16
ORI.AX,ORICA LTD,2026-09-16
ALD.AX,AMPOL LTD,2026-09-16
SGP.AX,STOCKLAND,2026-09-16
NXT.AX,NEXTDC LTD,2026-09-16
MIN.AX,MINERAL RESOURCES LTD,2026-09-16
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-16
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-16
VCX.AX,VICINITY CENTRES,2026-09-16
COH.AX,COCHLEAR LTD,2026-09-16
SHL.AX,SONIC HEALTHCARE LTD,2026-09-16
PME.AX,PRO MEDICUS LTD,2026-09-16
PRU.AX,PERSEUS MINING LTD,2026-09-16
CHC.AX,CHARTER HALL GROUP,2026-09-16
GPT.AX,GPT GROUP,2026-09-16
TNE.AX,TECHNOLOGY ONE LTD,2026-09-16
CAR.AX,CAR GROUP LTD,2026-09-16
GMD.AX,GENESIS MINERALS LTD,2026-09-16
REA.AX,REA GROUP LTD,2026-09-16
MGR.AX,MIRVAC GROUP,2026-09-16
JBH.AX,JB HI-FI LTD,2026-09-16
SGH.AX,SGH LTD,2026-09-16
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-16
VAU.AX,VAULT MINERALS LTD,2026-09-16
WHC.AX,WHITEHAVEN COAL LTD,2026-09-16
WTC.AX,WISETECH GLOBAL LTD,2026-09-16
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-16
CMM.AX,CAPRICORN METALS LTD,2026-09-16
AMP.AX,AMP LTD,2026-09-16
SDF.AX,STEADFAST GROUP LTD,2026-09-16
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-16
DNL.AX,DYNO NOBEL LTD,2026-09-16
DXS.AX,DEXUS/AU,2026-09-16
RRL.AX,REGIS RESOURCES LTD,2026-09-16
ANN.AX,ANSELL LTD,2026-09-16
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-16
GGP.AX,GREATLAND RESOURCES LTD,2026-09-16
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-16
CGF.AX,CHALLENGER LTD,2026-09-16
HUB.AX,HUB24 LTD,2026-09-16
AGL.AX,AGL ENERGY LTD,2026-09-16
IGO.AX,IGO LTD,2026-09-16
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-16
CDA.AX,CODAN LTD,2026-09-16
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-16
A2M.AX,A2 MILK CO LTD,2026-09-16
WOR.AX,WORLEY LTD,2026-09-16
SEK.AX,SEEK LTD,2026-09-16
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-16
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-16
DOW.AX,DOWNER EDI LTD,2026-09-16
REH.AX,REECE LTD,2026-09-16
SGM.AX,SIMS LTD,2026-09-16
MP1.AX,MEGAPORT LTD,2026-09-16
PDN.AX,PALADIN ENERGY LTD,2026-09-16
EMR.AX,EMERALD RESOURCES NL,2026-09-16
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-16
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-16
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-16
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-16
AUB.AX,AUB GROUP LTD,2026-09-16
NWH.AX,NRW HOLDINGS LTD,2026-09-16
NHC.AX,NEW HOPE CORP LTD,2026-09-16
NHF.AX,NIB HOLDINGS LTD,2026-09-16
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-16
MTS.AX,METCASH LTD,2026-09-16
BRG.AX,BREVILLE GROUP LTD,2026-09-16
CNU.AX,CHORUS LTD,2026-09-16
ZIP.AX,ZIP CO LTD,2026-09-16
RGN.AX,REGION GROUP,2026-09-16
MND.AX,MONADELPHOUS GROUP LTD,2026-09-16
ILU.AX,ILUKA RESOURCES LTD,2026-09-16
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-16
RSG.AX,RESOLUTE MINING LTD,2026-09-16
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-16
NWL.AX,NETWEALTH GROUP LTD,2026-09-16
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-16
TPG.AX,TPG TELECOM LTD,2026-09-16
LTR.AX,LIONTOWN LTD,2026-09-16
BGL.AX,BELLEVUE GOLD LTD,2026-09-16
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-16
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-16
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-16
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-16
OBM.AX,ORA BANDA MINING LTD,2026-09-16
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-16
ALX.AX,ATLAS ARTERIA,2026-09-16
PPT.AX,PERPETUAL LTD,2026-09-16
TAH.AX,TABCORP HOLDINGS LTD,2026-09-16
SRG.AX,SRG GLOBAL LTD,2026-09-16
ALK.AX,ALKANE RESOURCES LTD,2026-09-16
PRN.AX,PERENTI LTD,2026-09-16
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-16
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-16
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-16
DDR.AX,DICKER DATA LTD,2026-09-16
DRR.AX,DETERRA ROYALTIES LTD,2026-09-16
MSB.AX,MESOBLAST LTD,2026-09-16
LLC.AX,LENDLEASE GROUP,2026-09-16
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-16
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-16
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-16
ORA.AX,ORORA LTD,2026-09-16
CYL.AX,CATALYST METALS LTD,2026-09-16
LOV.AX,LOVISA HOLDINGS LTD,2026-09-16
IMD.AX,IMDEX LTD,2026-09-16
WPR.AX,WAYPOINT REIT,2026-09-16
MI6.AX,MINERALS 260 LTD,2026-09-16
BGA.AX,BEGA CHEESE LTD,2026-09-16
EVT.AX,EVT LTD,2026-09-16
DTL.AX,DATA#3 LTD,2026-09-16
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-16
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-16
HLI.AX,HELIA GROUP LTD,2026-09-16
MLX.AX,METALS X LTD,2026-09-16
EQR.AX,EQ RESOURCES LTD,2026-09-16
SIQ.AX,SMARTGROUP CORP LTD,2026-09-16
4DX.AX,4DMEDICAL LTD,2026-09-16
ASB.AX,AUSTAL LTD,2026-09-16
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-16
BPT.AX,BEACH ENERGY LTD,2026-09-16
PYC.AX,PYC THERAPEUTICS LTD,2026-09-16
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-16
SLC.AX,SUPERLOOP LTD,2026-09-16
ARB.AX,ARB CORP LTD,2026-09-16
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-16
DRO.AX,DRONESHIELD LTD,2026-09-16
FFM.AX,FIREFLY METALS LTD,2026-09-16
ELD.AX,ELDERS LTD,2026-09-16
KAR.AX,KAROON ENERGY LTD,2026-09-16
SSM.AX,SERVICE STREAM LTD,2026-09-16
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-16
CIA.AX,CHAMPION IRON LTD,2026-09-16
DVP.AX,DEVELOP GLOBAL LTD,2026-09-16
GNC.AX,GRAINCORP LTD-A,2026-09-16
NUF.AX,NUFARM LTD,2026-09-16
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-16
IRE.AX,IRESS LTD,2026-09-16
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-16
DYL.AX,DEEP YELLOW LTD,2026-09-16
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-16
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-16
NCK.AX,NICK SCALI LTD,2026-09-16
ELV.AX,ELEVRA LITHIUM LTD,2026-09-16
PNR.AX,PANTORO GOLD LTD,2026-09-16
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-16
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-16
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-16
ABB.AX,AUSSIE BROADBAND LTD,2026-09-16
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-16
SLX.AX,SILEX SYSTEMS LTD,2026-09-16
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-16
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-16
SMR.AX,STANMORE RESOURCES LTD,2026-09-16
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-16
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-16
IPX.AX,IPERIONX LTD,2026-09-16
CAT.AX,CATAPULT SPORTS LTD,2026-09-16
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-16
MYS.AX,MYSTATE LTD,2026-09-16
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-16
TEA.AX,TASMEA LTD,2026-09-16
L1G.AX,L1 GROUP LTD,2026-09-16
RFF.AX,RURAL FUNDS TRUST,2026-09-16
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-16
ING.AX,INGHAMS GROUP LTD,2026-09-16
PWH.AX,PWR HOLDINGS LTD,2026-09-16
APZ.AX,ASPEN GROUP,2026-09-16
CKF.AX,COLLINS FOODS LTD,2026-09-16
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-16
NAN.AX,NANOSONICS LTD,2026-09-16
KLS.AX,KELSIAN GROUP LTD,2026-09-16
SNL.AX,SUPPLY NETWORK LTD,2026-09-16
SDR.AX,SITEMINDER LTD,2026-09-16
IPH.AX,IPH LTD,2026-09-16
OML.AX,OOH!MEDIA LTD,2026-09-16
SBM.AX,ST BARBARA LTD,2026-09-16
WBT.AX,WEEBIT NANO LTD,2026-09-16
BMN.AX,BANNERMAN ENERGY LTD,2026-09-16
ELS.AX,ELSIGHT LTD,2026-09-16
PXA.AX,PEXA GROUP LTD,2026-09-16
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-16
REG.AX,REGIS HEALTHCARE LTD,2026-09-16
SGLLV.AX,RICEGROWERS LIMITED,2026-09-16
GNP.AX,GENUSPLUS GROUP LTD,2026-09-16
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-16
CCP.AX,CREDIT CORP GROUP LTD,2026-09-16
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-16
AOV.AX,AMOTIV LTD,2026-09-16
BOE.AX,BOSS ENERGY LTD,2026-09-16
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-16
RIC.AX,RIDLEY CORP LTD,2026-09-16
ARF.AX,ARENA REIT,2026-09-16
