rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,NHF.AX,NIB HOLDINGS LTD,6.73,3290383104,-9.05,-9.54,-9.91,5.89,1D <= -7.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2.4,1464475776,-7.69,-6.61,-1.23,3.09,1D <= -7.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,ELS.AX,ELSIGHT LTD,5.54,1231921280,-6.1,-18.65,-5.78,1.8,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,MP1.AX,MEGAPORT LTD,17.46,4231754240,-5.01,-18.53,-7.91,1.11,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,CHC.AX,CHARTER HALL GROUP,20.08,9497783296,-3.04,-12.16,-12.28,2.32,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,ARF.AX,ARENA REIT,2.44,996243648,-2.01,4.27,-23.27,1.05,20D <= -20.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,DGT.AX,DIGICO INFRASTRUCTURE REIT,2.48,1384623232,-1.98,-13.59,-5.7,1.75,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,WBT.AX,WEEBIT NANO LTD,3.97,954498368,-0.5,-10.99,-25.09,0.77,20D <= -20.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,IPH.AX,IPH LTD,3.64,932907072,1.11,-13.33,-12.92,1.98,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.33,681071232,3.74,-20.05,-14.38,1.54,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,4.16,1148799488,4.0,-12.05,7.49,1.42,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,candidate,IEL.AX,IDP EDUCATION LTD,1.85,514922016,5.11,-15.53,-12.32,1.48,5D <= -12.0%,,,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
