ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-15
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-15
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-15
WBC.AX,WESTPAC BANKING CORP,2026-09-15
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-15
MQG.AX,MACQUARIE GROUP LTD,2026-09-15
WES.AX,WESFARMERS LTD,2026-09-15
CSL.AX,CSL LTD,2026-09-15
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-15
RIO.AX,RIO TINTO LTD,2026-09-15
TLS.AX,TELSTRA GROUP LTD,2026-09-15
GMG.AX,GOODMAN GROUP,2026-09-15
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-15
TCL.AX,TRANSURBAN GROUP,2026-09-15
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-15
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-15
COL.AX,COLES GROUP LTD,2026-09-15
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-15
EVN.AX,EVOLUTION MINING LTD,2026-09-15
STO.AX,SANTOS LTD,2026-09-15
FMG.AX,FORTESCUE LTD,2026-09-15
BXB.AX,BRAMBLES LTD,2026-09-15
S32.AX,SOUTH32 LTD,2026-09-15
SUN.AX,SUNCORP GROUP LTD,2026-09-15
CPU.AX,COMPUTERSHARE LTD,2026-09-15
ORG.AX,ORIGIN ENERGY LTD,2026-09-15
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-15
SCG.AX,SCENTRE GROUP,2026-09-15
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-15
PLS.AX,PLS GROUP LTD,2026-09-15
APA.AX,APA GROUP,2026-09-15
QAN.AX,QANTAS AIRWAYS LTD,2026-09-15
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-15
BSL.AX,BLUESCOPE STEEL LTD,2026-09-15
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-15
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-15
XRO.AX,XERO LTD,2026-09-15
ASX.AX,ASX LTD,2026-09-15
TLC.AX,LOTTERY CORP LTD/THE,2026-09-15
ALQ.AX,ALS LTD,2026-09-15
ORI.AX,ORICA LTD,2026-09-15
NXT.AX,NEXTDC LTD,2026-09-15
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-15
SGP.AX,STOCKLAND,2026-09-15
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-15
ALD.AX,AMPOL LTD,2026-09-15
MIN.AX,MINERAL RESOURCES LTD,2026-09-15
VCX.AX,VICINITY CENTRES,2026-09-15
SHL.AX,SONIC HEALTHCARE LTD,2026-09-15
PME.AX,PRO MEDICUS LTD,2026-09-15
PRU.AX,PERSEUS MINING LTD,2026-09-15
CAR.AX,CAR GROUP LTD,2026-09-15
COH.AX,COCHLEAR LTD,2026-09-15
TNE.AX,TECHNOLOGY ONE LTD,2026-09-15
GMD.AX,GENESIS MINERALS LTD,2026-09-15
GPT.AX,GPT GROUP,2026-09-15
CHC.AX,CHARTER HALL GROUP,2026-09-15
REA.AX,REA GROUP LTD,2026-09-15
SGH.AX,SGH LTD,2026-09-15
JBH.AX,JB HI-FI LTD,2026-09-15
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-15
MGR.AX,MIRVAC GROUP,2026-09-15
VAU.AX,VAULT MINERALS LTD,2026-09-15
WHC.AX,WHITEHAVEN COAL LTD,2026-09-15
WTC.AX,WISETECH GLOBAL LTD,2026-09-15
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-15
CMM.AX,CAPRICORN METALS LTD,2026-09-15
DNL.AX,DYNO NOBEL LTD,2026-09-15
AMP.AX,AMP LTD,2026-09-15
SDF.AX,STEADFAST GROUP LTD,2026-09-15
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-15
DXS.AX,DEXUS/AU,2026-09-15
RRL.AX,REGIS RESOURCES LTD,2026-09-15
ANN.AX,ANSELL LTD,2026-09-15
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-15
GGP.AX,GREATLAND RESOURCES LTD,2026-09-15
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-15
IGO.AX,IGO LTD,2026-09-15
HUB.AX,HUB24 LTD,2026-09-15
CGF.AX,CHALLENGER LTD,2026-09-15
AGL.AX,AGL ENERGY LTD,2026-09-15
CDA.AX,CODAN LTD,2026-09-15
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-15
A2M.AX,A2 MILK CO LTD,2026-09-15
DOW.AX,DOWNER EDI LTD,2026-09-15
WOR.AX,WORLEY LTD,2026-09-15
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-15
SEK.AX,SEEK LTD,2026-09-15
MP1.AX,MEGAPORT LTD,2026-09-15
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-15
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-15
PDN.AX,PALADIN ENERGY LTD,2026-09-15
REH.AX,REECE LTD,2026-09-15
SGM.AX,SIMS LTD,2026-09-15
EMR.AX,EMERALD RESOURCES NL,2026-09-15
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-15
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-15
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-15
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-15
AUB.AX,AUB GROUP LTD,2026-09-15
NWH.AX,NRW HOLDINGS LTD,2026-09-15
BRG.AX,BREVILLE GROUP LTD,2026-09-15
NHC.AX,NEW HOPE CORP LTD,2026-09-15
NHF.AX,NIB HOLDINGS LTD,2026-09-15
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-15
CNU.AX,CHORUS LTD,2026-09-15
MTS.AX,METCASH LTD,2026-09-15
RSG.AX,RESOLUTE MINING LTD,2026-09-15
ZIP.AX,ZIP CO LTD,2026-09-15
RGN.AX,REGION GROUP,2026-09-15
MND.AX,MONADELPHOUS GROUP LTD,2026-09-15
ILU.AX,ILUKA RESOURCES LTD,2026-09-15
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-15
NWL.AX,NETWEALTH GROUP LTD,2026-09-15
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-15
TPG.AX,TPG TELECOM LTD,2026-09-15
LTR.AX,LIONTOWN LTD,2026-09-15
BGL.AX,BELLEVUE GOLD LTD,2026-09-15
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-15
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-15
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-15
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-15
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-15
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-15
OBM.AX,ORA BANDA MINING LTD,2026-09-15
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-15
ALX.AX,ATLAS ARTERIA,2026-09-15
PPT.AX,PERPETUAL LTD,2026-09-15
TAH.AX,TABCORP HOLDINGS LTD,2026-09-15
SRG.AX,SRG GLOBAL LTD,2026-09-15
ALK.AX,ALKANE RESOURCES LTD,2026-09-15
PRN.AX,PERENTI LTD,2026-09-15
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-15
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-15
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-15
DRR.AX,DETERRA ROYALTIES LTD,2026-09-15
MSB.AX,MESOBLAST LTD,2026-09-15
LLC.AX,LENDLEASE GROUP,2026-09-15
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-15
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-15
ORA.AX,ORORA LTD,2026-09-15
CYL.AX,CATALYST METALS LTD,2026-09-15
DDR.AX,DICKER DATA LTD,2026-09-15
IMD.AX,IMDEX LTD,2026-09-15
WPR.AX,WAYPOINT REIT,2026-09-15
MI6.AX,MINERALS 260 LTD,2026-09-15
BGA.AX,BEGA CHEESE LTD,2026-09-15
PYC.AX,PYC THERAPEUTICS LTD,2026-09-15
EVT.AX,EVT LTD,2026-09-15
DTL.AX,DATA#3 LTD,2026-09-15
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-15
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-15
MLX.AX,METALS X LTD,2026-09-15
DRO.AX,DRONESHIELD LTD,2026-09-15
EQR.AX,EQ RESOURCES LTD,2026-09-15
4DX.AX,4DMEDICAL LTD,2026-09-15
ASB.AX,AUSTAL LTD,2026-09-15
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-15
BPT.AX,BEACH ENERGY LTD,2026-09-15
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-15
SLC.AX,SUPERLOOP LTD,2026-09-15
ARB.AX,ARB CORP LTD,2026-09-15
LOV.AX,LOVISA HOLDINGS LTD,2026-09-15
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-15
FFM.AX,FIREFLY METALS LTD,2026-09-15
ELD.AX,ELDERS LTD,2026-09-15
KAR.AX,KAROON ENERGY LTD,2026-09-15
SIQ.AX,SMARTGROUP CORP LTD,2026-09-15
SSM.AX,SERVICE STREAM LTD,2026-09-15
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-15
CIA.AX,CHAMPION IRON LTD,2026-09-15
DYL.AX,DEEP YELLOW LTD,2026-09-15
HLI.AX,HELIA GROUP LTD,2026-09-15
DVP.AX,DEVELOP GLOBAL LTD,2026-09-15
GNC.AX,GRAINCORP LTD-A,2026-09-15
NUF.AX,NUFARM LTD,2026-09-15
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-15
IRE.AX,IRESS LTD,2026-09-15
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-15
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-15
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-15
NCK.AX,NICK SCALI LTD,2026-09-15
ELV.AX,ELEVRA LITHIUM LTD,2026-09-15
PNR.AX,PANTORO GOLD LTD,2026-09-15
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-15
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-15
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-15
ABB.AX,AUSSIE BROADBAND LTD,2026-09-15
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-15
SLX.AX,SILEX SYSTEMS LTD,2026-09-15
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-15
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-15
SMR.AX,STANMORE RESOURCES LTD,2026-09-15
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-15
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-15
IPX.AX,IPERIONX LTD,2026-09-15
CAT.AX,CATAPULT SPORTS LTD,2026-09-15
A4N.AX,ALPHA HPA LTD,2026-09-15
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-15
MYS.AX,MYSTATE LTD,2026-09-15
CQE.AX,CHARTER HALL SOCIAL INFRASTR,2026-09-15
TEA.AX,TASMEA LTD,2026-09-15
L1G.AX,L1 GROUP LTD,2026-09-15
RFF.AX,RURAL FUNDS TRUST,2026-09-15
DXI.AX,DEXUS INDUSTRIA REIT,2026-09-15
ING.AX,INGHAMS GROUP LTD,2026-09-15
PWH.AX,PWR HOLDINGS LTD,2026-09-15
APZ.AX,ASPEN GROUP,2026-09-15
CKF.AX,COLLINS FOODS LTD,2026-09-15
SXE.AX,SOUTHERN CROSS ELECTRICAL,2026-09-15
NAN.AX,NANOSONICS LTD,2026-09-15
KLS.AX,KELSIAN GROUP LTD,2026-09-15
SNL.AX,SUPPLY NETWORK LTD,2026-09-15
SDR.AX,SITEMINDER LTD,2026-09-15
IPH.AX,IPH LTD,2026-09-15
OML.AX,OOH!MEDIA LTD,2026-09-15
SBM.AX,ST BARBARA LTD,2026-09-15
WBT.AX,WEEBIT NANO LTD,2026-09-15
BMN.AX,BANNERMAN ENERGY LTD,2026-09-15
ELS.AX,ELSIGHT LTD,2026-09-15
PXA.AX,PEXA GROUP LTD,2026-09-15
ARU.AX,ARAFURA RARE EARTHS LTD,2026-09-15
REG.AX,REGIS HEALTHCARE LTD,2026-09-15
SGLLV.AX,RICEGROWERS LIMITED,2026-09-15
GNP.AX,GENUSPLUS GROUP LTD,2026-09-15
CU6.AX,CLARITY PHARMACEUTICALS LTD,2026-09-15
CCP.AX,CREDIT CORP GROUP LTD,2026-09-15
GLF.AX,GEMLIFE COMMUNITIES GROUP,2026-09-15
AOV.AX,AMOTIV LTD,2026-09-15
FPR.AX,FLEETPARTNERS GROUP LTD,2026-09-15
RIC.AX,RIDLEY CORP LTD,2026-09-15
ARF.AX,ARENA REIT,2026-09-15
HMC.AX,HMC CAPITAL LTD,2026-09-15
MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,2026-09-15
SHV.AX,SELECT HARVESTS LTD,2026-09-15
BAP.AX,BAPCOR LTD,2026-09-15
VSL.AX,VULCAN STEEL LTD,2026-09-15
COF.AX,CENTURIA OFFICE REIT,2026-09-15
OBL.AX,OMNI BRIDGEWAY LTD,2026-09-15
GOZ.AX,GROWTHPOINT PROPERTIES AUSTR,2026-09-15
IPG.AX,IPD GROUP LTD,2026-09-15
MAF.AX,MA FINANCIAL GROUP LTD,2026-09-15
CWP.AX,CEDAR WOODS PROPERTIES LTD,2026-09-15
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-15
ACL.AX,AUSTRALIAN CLINICAL LABS LTD,2026-09-15
NXL.AX,NUIX LTD,2026-09-15
GWA.AX,GWA GROUP LTD,2026-09-15
VGN.AX,VIRGIN AUSTRALIA HOLDINGS LT,2026-09-15
BRE.AX,BRAZILIAN RARE EARTHS LTD,2026-09-15
RPL.AX,REGAL PARTNERS LTD,2026-09-15
TPW.AX,TEMPLE & WEBSTER GROUP LTD,2026-09-15
RDX.AX,REDOX LTD/AUSTRALIA,2026-09-15
NGI.AX,NAVIGATOR GLOBAL INVESTMENTS,2026-09-15
BC8.AX,BLACK CAT SYNDICATE LTD,2026-09-15
SKG.AX,STORAGE KING GROUP,2026-09-15
IEL.AX,IDP EDUCATION LTD,2026-09-15
AEL.AX,AMPLITUDE ENERGY LTD,2026-09-15
BCI.AX,BCI MINERALS LTD,2026-09-15
CMW.AX,CROMWELL PROPERTY GROUP,2026-09-15
BOE.AX,BOSS ENERGY LTD,2026-09-15
CHN.AX,CHALICE MINING LTD,2026-09-15
LIC.AX,LIFESTYLE COMMUNITIES LTD,2026-09-15
TUA.AX,TUAS LTD,2026-09-15
EQT.AX,EQT HOLDINGS LTD,2026-09-15
WA1.AX,WA1 RESOURCES LTD,2026-09-15
PNV.AX,POLYNOVO LTD,2026-09-15
LYL.AX,LYCOPODIUM LTD,2026-09-15
C79.AX,CHRYSOS CORP LTD,2026-09-15
AEF.AX,AUSTRALIAN ETHICAL INVT LTD,2026-09-15
OCL.AX,OBJECTIVE CORPORATION LTD,2026-09-15
JIN.AX,JUMBO INTERACTIVE LTD,2026-09-15
BLX.AX,BEACON LIGHTING GROUP LTD,2026-09-15
HLS.AX,HEALIUS LTD,2026-09-15
CUV.AX,CLINUVEL PHARMACEUTICALS LTD,2026-09-15
EHL.AX,EMECO HOLDINGS LTD,2026-09-15
ABG.AX,ABACUS GROUP,2026-09-15
MYR.AX,MYER HOLDINGS LTD,2026-09-15
AX1.AX,ACCENT GROUP LTD,2026-09-15
PPM.AX,PEPPER MONEY LTD/AU,2026-09-15
GTK.AX,GENTRACK GROUP LTD,2026-09-15
