ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-22
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-22
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-22
WBC.AX,WESTPAC BANKING CORP,2026-09-22
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-22
CSL.AX,CSL LTD,2026-09-22
MQG.AX,MACQUARIE GROUP LTD,2026-09-22
WES.AX,WESFARMERS LTD,2026-09-22
RIO.AX,RIO TINTO LTD,2026-09-22
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-22
TLS.AX,TELSTRA GROUP LTD,2026-09-22
GMG.AX,GOODMAN GROUP,2026-09-22
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-22
TCL.AX,TRANSURBAN GROUP,2026-09-22
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-22
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-22
COL.AX,COLES GROUP LTD,2026-09-22
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-22
EVN.AX,EVOLUTION MINING LTD,2026-09-22
STO.AX,SANTOS LTD,2026-09-22
FMG.AX,FORTESCUE LTD,2026-09-22
BXB.AX,BRAMBLES LTD,2026-09-22
S32.AX,SOUTH32 LTD,2026-09-22
CPU.AX,COMPUTERSHARE LTD,2026-09-22
SUN.AX,SUNCORP GROUP LTD,2026-09-22
ORG.AX,ORIGIN ENERGY LTD,2026-09-22
SCG.AX,SCENTRE GROUP,2026-09-22
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-22
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-22
APA.AX,APA GROUP,2026-09-22
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-22
PLS.AX,PLS GROUP LTD,2026-09-22
BSL.AX,BLUESCOPE STEEL LTD,2026-09-22
QAN.AX,QANTAS AIRWAYS LTD,2026-09-22
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-22
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-22
ASX.AX,ASX LTD,2026-09-22
ALQ.AX,ALS LTD,2026-09-22
ORI.AX,ORICA LTD,2026-09-22
TLC.AX,LOTTERY CORP LTD/THE,2026-09-22
XRO.AX,XERO LTD,2026-09-22
