rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,TEA.AX,TASMEA LTD,9.3,2608461056,-5.68,-3.43,6.9,1.04,1D <= -4.0%,,"Tasmea Ltd (AX: TEA) Share Price, TEA Stock News, TEA Share Price & Updates - Kalkine | Why are Tasmea Shares (ASX: TEA) Up So Much? - thebull.com.au | TEA Stock Price and Chart — ASX:TEA - TradingView | What Drove Tasmea Ltd (ASX:TEA) Down on 17 August 2026? - Kalkine | A $75 million deal has this ASX 200 stock smashing a record high today - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,4DX.AX,4DMEDICAL LTD,3.35,2009776512,-4.83,-2.05,-17.89,1.3,1D <= -4.0%; 20D <= -15.0%,,4DMedical (ASX:4DX) Jumps 4.65% — Why the Lung Imaging Tech Stock Is Making Moves - Kalkine | ASX Stocks: 3 Companies Estimated To Be Trading Below Their Fair Value - simplywall.st | Why 4DMedical shares could still rise 65% - The Motley Fool Australia | 4DMEDICAL Ltd (ASX: 4DX) Share Price Falls 5.10% as Stock Trades Within Its Daily Range - Kalkine | 4DMedical shares are up 670% — but why have they halved? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,BAP.AX,BAPCOR LTD,0.79,531474944,-4.82,1.28,88.1,0.96,1D <= -4.0%,impairment,"Is Bapcor Ltd (ASX:BAP) Stock Positioned for Growth - Kalkine | Bapcor Ltd FY26 earnings: turnaround gains, big impairment loss - The Motley Fool Australia | Bapcor earnings: Under review amid sharply lower profits and a massively dilutive equity raise - Morningstar Australia | Bapcor Ltd (AX: BAP) Share Price, BAP Stock News, BAP Share Price & Updates - Kalkine | Down 84%, why Bapcor shares may have further to fall - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,JDO.AX,JUDO CAPITAL HOLDINGS LTD,1.02,1144800768,-4.67,-5.99,6.81,0.67,1D <= -4.0%,downgrade,"Why Judo Capital Holdings (ASX:JDO) Could Be a Financial Stock to Watch - Kalkine | Fears of deteriorating loan quality sends bank share plummeting - Morningstar Australia | Judo Capital (ASX:JDO) Shares Face Credit Scrutiny After Profit Jump - simplywall.st | Judo shares crash 46% on shock downgrade, now at its cheapest valuation ever - Market Index | Is it time to buy the dip on Judo Capital shares? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,DDR.AX,DICKER DATA LTD,14.1,2560340224,-4.21,-1.61,10.47,0.44,1D <= -4.0%,,"Why Is Dicker Data (ASX:DDR) in Focus Across Technology Stocks? - Kalkine Media | Dicker Data (ASX:DDR) Shares Climb with AI, Cloud and Enterprise Technology Trends in Focus - Kalkine | Dicker Data (ASX:DDR): This Stock Goes Ex-Dividend Tomorrow: What Investors Should Know - Kalkine | Dicker Data (ASX:DDR) Puts Another 11.5-Cent Dividend on the Calendar Ahead of Half-Year Results - Kalkine | After Share Price Decline, Is Dicker Data (ASX:DDR) Stock Worth Keeping on Your Watchlist? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,TWE.AX,TREASURY WINE ESTATES LTD,5.35,4327814144,-4.12,-3.43,-5.14,0.77,1D <= -4.0%,,"Why Treasury Wine Estates (ASX:TWE) Could Be One ASX Stock to Watch in September - Kalkine | Are Treasury Wine Estates (ASX:TWE) Brands Pulling Ahead Again? - Kalkine Media | ASX top pick remains cheap with narrowing brand focus - Morningstar Australia | Buy, hold, sell: Transurban, Orora, Treasury Wine Estates shares - The Motley Fool Australia | Treasury Wine Estates (ASX:TWE) Rebounds—Is the Beaten-Down Stock Finding a Floor? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,LOV.AX,LOVISA HOLDINGS LTD,22.72,2515990016,-3.73,-9.52,-13.22,0.46,5D <= -8.0%,,"Why Is Lovisa (ASX:LOV) Still Turning Heads Across Retail Stocks? - Kalkine Media | Lovisa Holdings Ltd (ASX: LOV) Share Price, LOV Stock News, LOV Share Price & Updates - Kalkine | LOV Stock Price and Chart — ASX:LOV - TradingView | Can Lovisa (ASX:LOV) keep its store rollout momentum going? - Kalkine Media | Lovisa Holdings (ASX:LOV) shares jump 12%: here's what's driving the rally - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,0.86,1363755520,-3.37,-11.79,-14.85,1.07,5D <= -8.0%,,"Nine Entertainment (ASX:NEC): WIN Group Lifts Voting Power to 25.94% After Fresh Share Buys - Kalkine | Buy, hold, sell: Nine Entertainment, Wesfarmers, BHP shares - The Motley Fool Australia | Nine Entertainment Rebounds Above 2% (ASX:NEC): Is the Market Repricing the Media Stock? - Kalkine | Which ASX media share to buy: News Corp, Nine or REA Group? - The Motley Fool Australia | Nine Entertainment (ASX: NEC) Stock Analysis: High Yield, Digital Shift & QMS Deal Impact - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,LYL.AX,LYCOPODIUM LTD,20.74,824212224,-3.26,-8.92,8.02,0.87,5D <= -8.0%,,"Lycopodium (ASX:LYL) Leaps 12% as FY26 Profit and Dividend Deliver a New Benchmark - Kalkine | Earnings Beat: Lycopodium Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Models - simplywall.st | What Does Lycopodium's (ASX:LYL) Latest Share Price Movement Mean? - Kalkine | ASX Stocks Estimated To Be Trading Below Fair Value In July 2026 - simplywall.st | LYL Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,ZIP.AX,ZIP CO LTD,2.31,2878079232,-2.94,-11.83,-15.69,0.61,5D <= -8.0%; 20D <= -15.0%,,"Why Zip shares took investors on a wild ride in August - The Motley Fool Australia | Does Zip Co (ASX:ZIP) Buyback Reflect Margin Strength or Limited Reinvestment Opportunities? - simplywall.st | Zip Co (ASX:ZIP) Shares Under Pressure as Investors Assess Fintech Growth, Margins and Credit Trends - Kalkine | Zip Co reports record FY26 earnings and outlines growth strategy - The Motley Fool Australia | Why Zip Co (ASX:ZIP) Shares Are Trading Lower Today? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
