rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,REG.AX,REGIS HEALTHCARE LTD,4.3,1300154496,-26.99,-30.08,-33.13,11.71,1D <= -7.0%; 5D <= -12.0%; 20D <= -20.0%,,"Regis Healthcare (ASX:REG) Shares Drop as Government Confirms 2.55% AN-ACC Pricing Increase - Kalkine | Regis Healthcare reacts to government funding change - The Motley Fool Australia | Regis Healthcare (ASX:REG): Why This ASX Healthcare Stock Investors May Be Watching Closely - Kalkine | Earnings Beat, Higher Dividend And New CFO Might Change The Case For Investing In Regis (ASX:REG) - webull.com | ASX Growth Stocks With High Insider Ownership August 2026 - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,SRL.AX,SUNRISE ENERGY METALS LTD,14.23,2411607040,-11.12,-17.56,-10.5,0.94,1D <= -7.0%; 5D <= -12.0%,,"Sunrise Energy Metals (ASX:SRL) Up 752% in a Year — Is This Scandium Stock Worth Watching? - Kalkine | Have Sunrise Energy Metals Insiders Been Selling Stock? - simplywall.st | Sunrise Energy Metals Seeks ASX Quotation for 10,507 New Shares After Option Exercise - Kalkine Media | Sunrise Energy Metals Shares Add 3,000% in 12 Months: What Is Behind The Move? - thebull.com.au | This ASX mining stock turned $5,000 into an absolute fortune - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,EQR.AX,EQ RESOURCES LTD,0.35,1833270528,-7.79,-13.41,10.94,1.8,1D <= -7.0%; 5D <= -12.0%,,EQ Resources (ASX:EQR) Slides Despite Record Tungsten Run - Kalkine Media | EQ Resources posts $55M revenue on production surge - grafa.com | EQ Resources Limited (ASX:EQR) Shares Fall Around 9% as the Tungsten Rally Takes a Breather - Kalkine | EQR Stock Price and Chart — ASX:EQR - TradingView | EQ Resources posts record July revenue as production surges - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,MAF.AX,MA FINANCIAL GROUP LTD,5.13,1012005440,-4.11,-16.86,-12.74,1.86,5D <= -12.0%,,MA Financial Group (ASX:MAF) Shares Fall Nearly 3% - Here’s Why - Kalkine | MA Financial Group Limited (ASX:MAF): Could Higher Rates and Stronger Margins Put This Financial Stock in Focus? - Kalkine | MA Financial Group (ASX:MAF) Shares Trail EPS Surge As Margins Tighten - simplywall.st | MA Financial delivers record 1H26 earnings and lifts dividend - The Motley Fool Australia | MA Financial Group (ASX:MAF) Share Price Falls — What's Weighing on the Stock? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,LOV.AX,LOVISA HOLDINGS LTD,23.15,2563607808,-3.66,-13.94,-13.94,2.06,5D <= -12.0%,,"Lovisa Holdings (ASX:LOV) Shares Slide: Here's What Investors Need to Know - Kalkine | What Does Lovisa (ASX:LOV)'s Profit Lift and Global Store Rollout Mean for Market participants? - Kalkine Media | Lovisa Holdings Ltd (ASX: LOV) Share Price, LOV Stock News, LOV Share Price & Updates - Kalkine | LOV Forecast — Price Target — Prediction for 2027 - TradingView | Why Is Lovisa (ASX:LOV) Attracting Attention Across Midcap Stocks? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,DRO.AX,DRONESHIELD LTD,1.66,1540490752,-2.92,-7.24,-26.97,1.1,20D <= -20.0%,,DroneShield shares have fallen 44% in 2026. Here’s why I’d buy the dip - The Motley Fool Australia | Why Is DroneShield (ASX:DRO) in Focus Among Industrial Stocks? - Kalkine Media | DroneShield stock falls again as valuation debate intensifies - AD HOC NEWS | Droneshield (ASX:DRO) Slides Despite Fresh Contract Win - Kalkine | DroneShield (ASX:DRO) share price falls 10% on HY26 trading update - Rask Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,TVN.AX,TIVAN LTD,0.22,513952992,-2.22,-12.0,-12.0,0.62,5D <= -12.0%,,"Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Tivan Ltd (ASX: TVN) Share Price Rallies Over 316% in a Year: Can Its Critical Minerals and Green Energy Strategy Drive Long-Term Growth? - Kalkine | Why BHP, Northern Star, Resimac, and Tivan shares are falling today - The Motley Fool Australia | Tivan (ASX:TVN): Why Is Its Lithium Story Drawing Fresh Attention? - Kalkine Media | Tivan Limited (ASX:TVN) Rallies as Critical-Minerals Investors Return to the Stock - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,9.24,2048527872,-1.7,-16.08,19.38,0.79,5D <= -12.0%,,Electro Optic Systems half-year earnings surge on booming defence demand - The Motley Fool Australia | Why Electro Optic Systems’ (ASX:EOS) Shares Are Down Today? - Kalkine | New Counter-Drone Order (US$124m) and Middle East JV for Laser Weapons and RWS - Electro Optic Systems | Electro Optic Systems (ASX:EOS) stock recovers but stays under A$8 placement level - TechStock² | Kalkine Stock Spotlight: Why Electro Optic Systems' (ASX:EOS) Share Purchase Plan Gained Limelight? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,CHC.AX,CHARTER HALL GROUP,18.7,8845047808,-1.63,-5.75,-21.16,1.2,20D <= -20.0%,,"Charter Hall Group (ASX:CHC): Could the Next Rate Move Reshape the Investment Case for This Property Stock? - Kalkine | Charter Hall Group (ASX:CHC): Investment Capacity, Acquisitions and Earnings Take Centre Stage - Kalkine | What Does Charter Hall (ASX:CHC)'s In-Line Annual Result Mean for Market participants? - Kalkine Media | Charter Hall Group (ASX:CHC) Shares Face Margin Squeeze Despite Fee Growth - simplywall.st | ASX property share lifts guidance despite sector headwinds - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,LIC.AX,LIFESTYLE COMMUNITIES LTD,4.94,601395904,-1.59,-12.26,-8.35,2.63,5D <= -12.0%,,"Lifestyle Communities (ASX:LIC): Can Sales Momentum Support the Next Phase of Community Growth? - Kalkine | Lifestyle Communities Director Claire Hatton Purchases 2,912 Shares in On-Market Transaction - Kalkine Media | Lifestyle Communities (ASX:LIC) Shares Face Margin Questions After Debt Reset - simplywall.st | Lifestyle Communities waiting for market upturn to grow, CEO says - AFR | Bullish Lifestyle Communities Insiders Loaded Up On AU$20.5m Of Stock - Yahoo Finance",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
