rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,IPH.AX,IPH LTD,3.75,961099328.0,-11.14,-10.29,-6.02,4.85,1D <= -7.0%,,"IPH (ASX:IPH)Dividend Yield in Focus, Stock on Radar of Income Investors - Kalkine | IPH Ltd FY26 earnings: resilient profit growth and higher dividend - The Motley Fool Australia | IPH Ltd (ASX:IPH): Can FY26 Profit Growth and a Higher Dividend Strengthen This ASX 300 Stock? - Kalkine Media | ASX Dividend Stocks: A 10-11% yielder that's become a dividend trap - Market Index | Can IPH Limited's (ASX:IPH) Dividend Continue to Support Income Appeal? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,DOW.AX,DOWNER EDI LTD,6.68,4402191360.0,-10.34,-12.11,-15.97,7.05,1D <= -7.0%; 5D <= -12.0%,,Shares Retreat for Downer EDI Ltd (ASX:DOW) — What Is Driving the Move? - Kalkine | Industrial: What matters for Downer EDI (ASX:DOW) in ASX 300? - Kalkine Media | What Is Downer EDI Limited's (ASX:DOW) Share Price Doing? - Yahoo Finance | Downer EDI (ASX:DOW) Shares Slip as Investors Assess Infrastructure Services Demand - Kalkine | REA and Downer EDI Ltd: 2 ASX shares to dig into - Rask Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,SHL.AX,SONIC HEALTHCARE LTD,21.38,10566806528.0,-9.25,-4.55,2.79,2.45,1D <= -7.0%,,Why Sonic Healthcare (ASX:SHL) Is Up 5.7% After Stronger FY26 Revenue And Earnings Results - simplywall.st | Sonic Healthcare share price in focus on FY26 profit jump and digital push - The Motley Fool Australia | Sonic Healthcare (ASX:SHL) Continues Global Laboratory Expansion Through Acquisitions and Operational Focus - Kalkine | What Does Sonic Healthcare (ASX:SHL) Signal on Diagnostics? - Kalkine Media | Are Sonic Healthcare Ltd (ASX:SHL) shares good value in 2026? - Rask Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,IPX.AX,IPERIONX LTD,2.89,1046567552.0,-4.3,-16.47,-13.21,2.02,5D <= -12.0%,,IperionX Ltd (ASX: IPX) Share Price Rises Today – Here’s Why - Kalkine | IperionX (ASX:IPX) Shares Valuation Check After Strong Long Term Returns And Premium P/B Multiple - simplywall.st | IperionX (ASX:IPX) After Camden Deal And Defense Award Is The Valuation Too Rich - Yahoo Finance | Advanced Materials Stock IperionX (ASX:IPX) Drops — Correction or Opportunity? - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,HUB.AX,HUB24 LTD,76.48,6254058496.0,-4.09,-12.64,-8.87,2.79,5D <= -12.0%,,"HUB24 Limited (ASX:HUB) Share Price Falls as Investors Assess Growth Expectations and FY26 Outlook - Kalkine | HUB24 Limited's (ASX:HUB) latest 10.0% decline adds to one-year losses, institutional investors may consider drastic measures - simplywall.st | What Is Putting HUB24 (ASX:HUB) and Xero (ASX:XRO) in Focus? - Kalkine Media | 3 overvalued ASX shares going into earnings - Morningstar Australia | Why this struggling ASX tech stock could surprise investors - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,HSN.AX,HANSEN TECHNOLOGIES LTD,3.22,658573440.0,-3.88,-24.94,-21.46,5.54,5D <= -12.0%; 20D <= -20.0%,,"Buy, hold, sell: Premier Investments, Hansen Technologies, Santos shares - The Motley Fool Australia | Hansen Technologies (ASX: HSN) Shares: Assessing the Outlook After Recent Results - Kalkine | Hansen Technologies (ASX:HSN) Share Price Faces Transition Year After Margin Strength - simplywall.st | Hansen Technologies (ASX:HSN) Margins Improve as Transition Takes Centre Stage - Kalkine Media | Hansen Technologies appoints new CEO as Andrew Hansen becomes Executive Chair - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,4.0,1104614912.0,-1.23,-15.43,-0.25,1.63,5D <= -12.0%,,"BRAZILIAN RARE EARTHS LTD Share Price - BRE, RNS News, Articles, Quotes, & Charts (ASX:BRE) - Proactive financial news | Brazilian Rare Earths (ASX:BRE) Share Price Falls 8% Today, Company Withdraws Production and Financial Forecasts - Kalkine | BRE:ASX Announcement - Brazilian Rare Earths Updated Scoping Study Presentation - 18 Aug 2026 - Market Index | Brazilian Rare Earths Shares Under Pressure, Down 14% This Week - thebull.com.au | Brazilian Rare Earths (ASX:BRE) Maps Out Large-Scale Rare Earth Development Pathway - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,JBH.AX,JB HI-FI LTD,70.21,7676338688.0,-0.89,-14.81,-8.47,1.1,5D <= -12.0%,,"Down 14% today: Are JB Hi-Fi shares now a bargain-bin buy? - The Motley Fool Australia | JB Hi-Fi (ASX:JBH) share price sinks 13% on FY26 result, weak sales in July - Rask Media | JB Hi-Fi (ASX:JBH) lifts payout to 75% as dividend policy re-rates the story - Stocks Down Under | Why JB Hi-Fi (ASX:JBH) Shares Are Among Today’s Biggest ASX 200 Decliners? - Kalkine | Why JB Hi-Fi (ASX:JBH) Is Down 13.8% After Posting Higher FY26 Earnings And EPS - simplywall.st",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,AZJ.AX,AURIZON HOLDINGS LTD,3.6,6059906048.0,-0.55,-14.08,-15.89,2.33,5D <= -12.0%,,Aurizon Holdings Ltd (ASX:AZJ): Is This a Buying Opportunity or a Caution Signal? - Kalkine | Aurizon shares on watch as profit and dividends jump in FY2026 earnings - The Motley Fool Australia | Aurizon Holdings (ASX:AZJ) Catalyst Watch: What Could Move Shares Next on 19 August - Kalkine Media | A Look At Aurizon Holdings (ASX:AZJ) Valuation After Reaffirmed FY2026 Earnings And Dividend Guidance - Yahoo Finance | Aurizon Holdings Ltd (ASX:AZJ) Gains: Is the BlackRock Move a Sign of Institutional Confidence? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,WBT.AX,WEEBIT NANO LTD,4.16,1000179584.0,-0.24,-11.11,-20.91,0.99,20D <= -20.0%,,Weebit Nano (ASX:WBT) Climbs — What's Driving Momentum in This Chip Stock? - Kalkine | Why Does Weebit Nano (ASX:WBT) Matter Today? - Kalkine Media | Stock of the day: Weebit Nano - ig.com | Kalkine ASX Analysis: Weebit Nano Ltd (ASX:WBT) Falls on Strong Volume—What's Behind the Move? - Kalkine | Stock of the day: Weebit Nano - ig.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,candidate,TVN.AX,TIVAN LTD,0.25,593465728.0,2.0,-12.07,-13.56,0.45,5D <= -12.0%,trading halt,"Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Tivan (ASX:TVN) Jumps 8% on Molyhil Scoping Study, Decades-Long Tungsten Mine Takes Shape - Stocks Down Under | Guess which ASX stock just came out of a trading halt and jumped 8% today - The Motley Fool Australia | Tivan Limited (ASX:TVN) Surges Today After Key Business Update - Kalkine | Tivan (ASX:TVN) Shares Slide as Market Assesses Materials Stocks - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,candidate,ARF.AX,ARENA REIT,2.42,984057472.0,2.11,3.86,-23.66,0.78,20D <= -20.0%,default,Arena REIT (ASX:ARF) Exploring Its Role in the Australian Listed REIT Market - Kalkine | Arena REIT postpones FY2026 earnings result as Edge Early Learning seeks rent relief - The Motley Fool Australia | Arena REIT securities plunge 22pc after childcare tenant Edge Early Learning fails to pay rent - Business News Australia | Does Arena REIT (ASX:ARF) Face Deeper Tenant-Quality Questions After Edge Early Learning Rent Default? - simplywall.st | Arena REIT (ASX:ARF): Latest Share Price and Business Snapshot - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
13,candidate,SGM.AX,SIMS LTD,23.24,4490734592.0,2.51,-12.17,-11.63,2.61,5D <= -12.0%,,ASX 200 Stocks in Red: Sims Limited (ASX:SGM) and Bendigo Bank (ASX:BEN) Slide on FY26 Updates - Kalkine | Sims (ASX:SGM) Is Down 14.1% After Swinging Back To Profit With A$0.20 Dividend – Has The Bull Case Changed? - simplywall.st | Sims Limited (ASX:SGM) Profit Rebound Raises a Bigger Market Question - Kalkine Media | Sims (ASX:SGM) Shares Fall 12.63% Despite FY26 Earnings Surge - Kalkine | Sims Shares Drop Despite Strong Earnings Growth: What Happened? - thebull.com.au,,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
14,candidate,IRE.AX,IRESS LTD,6.24,1165566208.0,3.31,-22.19,-4.15,1.96,5D <= -12.0%,,"Iress (ASX:IRE) Joins Top ASX 200 Decliners After Steep Drop - Kalkine | Why Iress Limited (ASX:IRE) Could Be Worth Watching - simplywall.st | Why Does Iress (ASX:IRE) Matter Today? - Kalkine Media | Iress (ASX:IRE): Should You Consider Stock For Portfolio? - Kalkine | Buy, hold, or sell? Life360, Iress, Lynas Rare Earths shares - The Motley Fool Australia",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
15,candidate,TPW.AX,TEMPLE & WEBSTER GROUP LTD,4.51,525625760.0,8.67,-13.93,-9.26,2.91,5D <= -12.0%,downgrade,"Temple & Webster (ASX:TPW) share price sinks 16% on FY26 result, weak start to FY27 - Rask Media | Temple & Webster earnings: Record revenue and profit growth in FY26 - The Motley Fool Australia | Temple & Webster (ASX:TPW) FY26 Results: Record Revenue Meets a Sharper FY27 Trading Challenge - Kalkine | 10 ASX 200 shares downgraded by analysts this week - The Motley Fool Australia | Can Temple & Webster (ASX:TPW) Turn Record Growth Into More? - Kalkine Media",,not_run_limit_reached,Skipped after 12 classifications to control API cost.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
