rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,10.31,2286857728,-6.31,15.9,54.19,0.69,1D <= -4.0%,,Electro Optic Systems half-year earnings surge on booming defence demand - The Motley Fool Australia | Why Electro Optic Systems’ (ASX:EOS) Shares Are Down Today? - Kalkine | Rainbows and Unicorns: Electro Optic Systems Holdings Limited (ASX:EOS) Analysts Just Became A Lot More Optimistic - simplywall.st | New Counter-Drone Order (US$124m) and Middle East JV for Laser Weapons and RWS - Electro Optic Systems | Does Electro Optic Systems (ASX:EOS) Counter‑Drone Prototype Deal Reframe Its Defence Technology Risk‑Reward Profile? - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,LIC.AX,LIFESTYLE COMMUNITIES LTD,5.3,645222336,-5.86,-3.64,4.13,0.67,1D <= -4.0%,,"Lifestyle Communities (ASX:LIC) Shares Slide 8% Today – Here’s Why - Kalkine | Lifestyle Communities waiting for market upturn to grow, CEO says - AFR | Canaccord Genuity Sticks to Its Buy Rating for Lifestyle Communities Ltd (LIC) - The Globe and Mail | Bullish Lifestyle Communities Insiders Loaded Up On AU$20.5m Of Stock - Yahoo Finance | This beaten-down ASX stock just exploded 16%. Here’s why - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,BOE.AX,BOSS ENERGY LTD,1.43,592455232,-5.81,-6.12,16.97,1.52,1D <= -4.0%,,Boss Energy Ltd (ASX:BOE): Charting Share Movement as the Uranium Producer Scales Up - Kalkine | Boss Energy reports profit turnaround and more uranium production in FY2026 - The Motley Fool Australia | Why Is Boss Energy (ASX:BOE) Stock Down 16% Today? - Kalkine | Could Boss Energy (ASX:BOE) Gain Fresh Attention in Energy Stocks? - Kalkine Media | Boss Energy (ASX:BOE) in Focus as Honeymoon Expansion and Uranium Demand Shape Investor Sentiment - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,SXE.AX,SOUTHERN CROSS ELECTRICAL,4.26,1314165504,-5.33,-9.55,-1.62,1.17,1D <= -4.0%; 5D <= -8.0%,,"Southern Cross Electrical Engineering (ASX:SXE) Reported Weaker Earnings, Is The Stock Fairly Valued? - simplywall.st | Why Southern Cross Electrical Engineering (ASX:SXE) Shares Are Trading Higher on Tuesday? - Kalkine | ASX growth stocks: Analysts just hiked this stock's target price by 46% - Market Index | Bell Potter says this ASX stock could rise 35% - The Motley Fool Australia | Electrical contractor SCEE gets its $150m raise at razor-thin discount - AFR",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,RPL.AX,REGAL PARTNERS LTD,2.6,601779904,-5.29,-6.6,-2.21,1.42,1D <= -4.0%,,Regal Partners Ltd (ASX:RPL): The Hidden Story Behind Its Strong Dividend Appeal - Kalkine Media | Regal Partners (ASX:RPL) Falls Around Despite Strong Earnings Growth — Is the Stock Undervalued? - Kalkine | Have Regal Partners Insiders Been Selling Stock? - simplywall.st | What Is Driving Regal Partners’ (ASX:RPL) Earnings Momentum? - Kalkine Media | Could this be the best ASX dividend share to buy now? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,TUA.AX,TUAS LTD,2.07,1135180032,-5.05,-0.48,-4.17,0.62,1D <= -4.0%,,Tuas (ASX:TUA) Shares Are Under Pressure Today- Here’s Why? - Kalkine | Why are Tuas shares crashing 69% on Monday? - The Motley Fool Australia | Assessing Tuas (ASX:TUA) Valuation After Regulatory Suspension Of M1 Acquisition Review - simplywall.st | Tuas Shares Bounce 24.5% This Month. Is The Worst of Selling Over? - thebull.com.au | Tuas (ASX:TUA) Retreats After Singapore Acquisition Pathway Closes - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,PDI.AX,PREDICTIVE DISCOVERY LTD,4.4,4422072832,-4.56,-4.35,38.58,0.27,1D <= -4.0%,,"Predictive Discovery (ASX:PDI) Approves Name Change And Consolidation, Where Does Fair Value Sit? - Yahoo Finance | Predictive Discovery (ASX:PDI) Stock Advances on Bankan Gold Project Development - Kalkine | PDI Gold standardizes name across ASX and TSX, approves 5-for-1 share consolidation - Seeking Alpha | Predictive Discovery posts strong June quarter gold production and cash growth - The Motley Fool Australia | Predictive Discovery (ASX:PDI) Share Price Drops 13% as Mining Volatility and Profit-Taking Hit Sentiment - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,GYG.AX,GUZMAN Y GOMEZ LTD,28.16,2801869056,-4.33,5.45,12.85,1.44,1D <= -4.0%,,"Fair value upgrade for ASX listed fast food chain - Morningstar Australia | Why Guzman y Gomez (ASX:GYG) Is Up 8.6% After Revenue Jumps But Profit Turns To Loss - simplywall.st | Could Guzman y Gomez (ASX:GYG) Be the Retail Stock to Watch? - Kalkine Media | Why Are Traders Watching Guzman y Gomez (ASX:GYG) Today? - Kalkine | Guzman y Gomez delivers record FY26 results, launches new buyback - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,PPT.AX,PERPETUAL LTD,19.37,2240939008,-4.25,-0.72,2.16,0.92,1D <= -4.0%,,"What Does Perpetual (ASX:PPT) Signal for Financial Stocks? - Kalkine Media | Perpetual Ltd (ASX:PPT) Nudges Up 0.10% to $19.23 as Asset Management Group Navigates Strategic Review - Kalkine | Perpetual FY26 underlying profit rises to $217M on cost cuts - grafa.com | Perpetual lifts AUM, advances Wealth sale in Q4 FY26 update - The Motley Fool Australia | Perpetual (ASX: PPT) Gains After EQT Raises Takeover Proposal to A$22.07 Per Share - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,SLC.AX,SUPERLOOP LTD,2.81,1446345984,-4.1,-8.17,-12.19,0.41,1D <= -4.0%; 5D <= -8.0%,,Superloop (ASX: SLC) Up 20% Year-to-Date — Is This Telco Stock Worth Watching After a 33% EBITDA Jump? - Kalkine | ASX August 2026 Stocks Estimated To Be Trading Below Intrinsic Value - simplywall.st | Is Superloop (ASX:SLC) Disrupting the Broadband Pack? - Kalkine Media | SLC Forecast — Price Target — Prediction for 2027 - TradingView | Investing in Superloop (ASX:SLC) three years ago would have delivered you a 248% gain - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
11,near_miss,TVN.AX,TIVAN LTD,0.24,558556032,-4.0,-5.88,-4.0,0.3,1D <= -4.0%,,"Tivan Ltd Share Price - TVN, RNS News, Articles, Quotes, & Charts (ASX:TVN) - Proactive financial news | Tivan (ASX:TVN) Shares Slide as Market Assesses Materials Stocks - Kalkine | Why Tivan (ASX:TVN) Shares Climb Despite Weak Resources Sentiment? - Kalkine | Tivan Ltd (ASX: TVN) Share Price Rallies Over 316% in a Year: Can Its Critical Minerals and Green Energy Strategy Drive Long-Term Growth? - Kalkine | Tivan Limited (ASX:TVN) Rallies as Critical-Minerals Investors Return to the Stock - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
12,near_miss,SGP.AX,STOCKLAND,4.28,10419595264,-3.05,-8.83,0.35,0.71,5D <= -8.0%,,Stockland (ASX:SGP) Shares Drop Despite a Top-End FY26 Result: Are Rate-Hike Fears Overpowering the Property Boom? - Kalkine | Why Stockland (ASX:SGP) Is Up 13.2% After Strong FY26 Profit And Steady FY27 Guidance - simplywall.st | Stockland Shares Hits Three-Year Low as YTD Decline Extends To 32.35% - thebull.com.au | Stockland (ASX:SGP) Rockets 12.47% as FY26 Results Trigger Heavy Trading - Kalkine | Stockland (ASX:SGP) Shares Eye Rerating After Top End FFO Print - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
