ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-18
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-18
WBC.AX,WESTPAC BANKING CORP,2026-09-18
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-18
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-18
CSL.AX,CSL LTD,2026-09-18
MQG.AX,MACQUARIE GROUP LTD,2026-09-18
WES.AX,WESFARMERS LTD,2026-09-18
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-18
RIO.AX,RIO TINTO LTD,2026-09-18
TLS.AX,TELSTRA GROUP LTD,2026-09-18
GMG.AX,GOODMAN GROUP,2026-09-18
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-18
TCL.AX,TRANSURBAN GROUP,2026-09-18
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-18
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-18
COL.AX,COLES GROUP LTD,2026-09-18
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-18
STO.AX,SANTOS LTD,2026-09-18
EVN.AX,EVOLUTION MINING LTD,2026-09-18
FMG.AX,FORTESCUE LTD,2026-09-18
BXB.AX,BRAMBLES LTD,2026-09-18
S32.AX,SOUTH32 LTD,2026-09-18
CPU.AX,COMPUTERSHARE LTD,2026-09-18
SUN.AX,SUNCORP GROUP LTD,2026-09-18
ORG.AX,ORIGIN ENERGY LTD,2026-09-18
SCG.AX,SCENTRE GROUP,2026-09-18
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-18
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-18
APA.AX,APA GROUP,2026-09-18
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-18
PLS.AX,PLS GROUP LTD,2026-09-18
BSL.AX,BLUESCOPE STEEL LTD,2026-09-18
QAN.AX,QANTAS AIRWAYS LTD,2026-09-18
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-18
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-18
XRO.AX,XERO LTD,2026-09-18
TLC.AX,LOTTERY CORP LTD/THE,2026-09-18
ASX.AX,ASX LTD,2026-09-18
ORI.AX,ORICA LTD,2026-09-18
ALD.AX,AMPOL LTD,2026-09-18
ALQ.AX,ALS LTD,2026-09-18
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-18
SGP.AX,STOCKLAND,2026-09-18
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-18
NXT.AX,NEXTDC LTD,2026-09-18
VCX.AX,VICINITY CENTRES,2026-09-18
MIN.AX,MINERAL RESOURCES LTD,2026-09-18
SHL.AX,SONIC HEALTHCARE LTD,2026-09-18
COH.AX,COCHLEAR LTD,2026-09-18
PME.AX,PRO MEDICUS LTD,2026-09-18
TNE.AX,TECHNOLOGY ONE LTD,2026-09-18
PRU.AX,PERSEUS MINING LTD,2026-09-18
CHC.AX,CHARTER HALL GROUP,2026-09-18
CAR.AX,CAR GROUP LTD,2026-09-18
GPT.AX,GPT GROUP,2026-09-18
GMD.AX,GENESIS MINERALS LTD,2026-09-18
REA.AX,REA GROUP LTD,2026-09-18
MGR.AX,MIRVAC GROUP,2026-09-18
JBH.AX,JB HI-FI LTD,2026-09-18
SGH.AX,SGH LTD,2026-09-18
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-18
WHC.AX,WHITEHAVEN COAL LTD,2026-09-18
WTC.AX,WISETECH GLOBAL LTD,2026-09-18
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-18
VAU.AX,VAULT MINERALS LTD,2026-09-18
CMM.AX,CAPRICORN METALS LTD,2026-09-18
DNL.AX,DYNO NOBEL LTD,2026-09-18
AMP.AX,AMP LTD,2026-09-18
SDF.AX,STEADFAST GROUP LTD,2026-09-18
ANN.AX,ANSELL LTD,2026-09-18
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-18
DXS.AX,DEXUS/AU,2026-09-18
RRL.AX,REGIS RESOURCES LTD,2026-09-18
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-18
GGP.AX,GREATLAND RESOURCES LTD,2026-09-18
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-18
CGF.AX,CHALLENGER LTD,2026-09-18
CDA.AX,CODAN LTD,2026-09-18
HUB.AX,HUB24 LTD,2026-09-18
AGL.AX,AGL ENERGY LTD,2026-09-18
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-18
IGO.AX,IGO LTD,2026-09-18
A2M.AX,A2 MILK CO LTD,2026-09-18
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-18
WOR.AX,WORLEY LTD,2026-09-18
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-18
SEK.AX,SEEK LTD,2026-09-18
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-18
DOW.AX,DOWNER EDI LTD,2026-09-18
REH.AX,REECE LTD,2026-09-18
SGM.AX,SIMS LTD,2026-09-18
MP1.AX,MEGAPORT LTD,2026-09-18
PDN.AX,PALADIN ENERGY LTD,2026-09-18
EMR.AX,EMERALD RESOURCES NL,2026-09-18
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-18
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-18
AUB.AX,AUB GROUP LTD,2026-09-18
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-18
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-18
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-18
NWH.AX,NRW HOLDINGS LTD,2026-09-18
NHC.AX,NEW HOPE CORP LTD,2026-09-18
NHF.AX,NIB HOLDINGS LTD,2026-09-18
MTS.AX,METCASH LTD,2026-09-18
BRG.AX,BREVILLE GROUP LTD,2026-09-18
CNU.AX,CHORUS LTD,2026-09-18
ZIP.AX,ZIP CO LTD,2026-09-18
RGN.AX,REGION GROUP,2026-09-18
TPG.AX,TPG TELECOM LTD,2026-09-18
MND.AX,MONADELPHOUS GROUP LTD,2026-09-18
ILU.AX,ILUKA RESOURCES LTD,2026-09-18
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-18
RSG.AX,RESOLUTE MINING LTD,2026-09-18
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-18
NWL.AX,NETWEALTH GROUP LTD,2026-09-18
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-18
BGL.AX,BELLEVUE GOLD LTD,2026-09-18
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-18
EQR.AX,EQ RESOURCES LTD,2026-09-18
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-18
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-18
LTR.AX,LIONTOWN LTD,2026-09-18
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-18
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-18
OBM.AX,ORA BANDA MINING LTD,2026-09-18
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-18
ALX.AX,ATLAS ARTERIA,2026-09-18
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-18
PPT.AX,PERPETUAL LTD,2026-09-18
TAH.AX,TABCORP HOLDINGS LTD,2026-09-18
SRG.AX,SRG GLOBAL LTD,2026-09-18
ALK.AX,ALKANE RESOURCES LTD,2026-09-18
PRN.AX,PERENTI LTD,2026-09-18
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-18
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-18
DDR.AX,DICKER DATA LTD,2026-09-18
DRR.AX,DETERRA ROYALTIES LTD,2026-09-18
4DX.AX,4DMEDICAL LTD,2026-09-18
LLC.AX,LENDLEASE GROUP,2026-09-18
NIC.AX,NICKEL INDUSTRIES LTD,2026-09-18
ORA.AX,ORORA LTD,2026-09-18
CYL.AX,CATALYST METALS LTD,2026-09-18
LOV.AX,LOVISA HOLDINGS LTD,2026-09-18
IMD.AX,IMDEX LTD,2026-09-18
WPR.AX,WAYPOINT REIT,2026-09-18
MI6.AX,MINERALS 260 LTD,2026-09-18
BGA.AX,BEGA CHEESE LTD,2026-09-18
EVT.AX,EVT LTD,2026-09-18
DTL.AX,DATA#3 LTD,2026-09-18
INA.AX,INGENIA COMMUNITIES GROUP,2026-09-18
MFG.AX,MAGELLAN FINANCIAL GROUP LTD,2026-09-18
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-18
HLI.AX,HELIA GROUP LTD,2026-09-18
MLX.AX,METALS X LTD,2026-09-18
MSB.AX,MESOBLAST LTD,2026-09-18
SIQ.AX,SMARTGROUP CORP LTD,2026-09-18
ASB.AX,AUSTAL LTD,2026-09-18
EOS.AX,ELECTRO OPTIC SYSTEMS HOLDIN,2026-09-18
BPT.AX,BEACH ENERGY LTD,2026-09-18
PYC.AX,PYC THERAPEUTICS LTD,2026-09-18
WEB.AX,WEB TRAVEL GROUP LTD,2026-09-18
SLC.AX,SUPERLOOP LTD,2026-09-18
ARB.AX,ARB CORP LTD,2026-09-18
KCN.AX,KINGSGATE CONSOLIDATED LTD,2026-09-18
DRO.AX,DRONESHIELD LTD,2026-09-18
FFM.AX,FIREFLY METALS LTD,2026-09-18
ELD.AX,ELDERS LTD,2026-09-18
KAR.AX,KAROON ENERGY LTD,2026-09-18
SSM.AX,SERVICE STREAM LTD,2026-09-18
GYG.AX,GUZMAN Y GOMEZ LTD,2026-09-18
CIA.AX,CHAMPION IRON LTD,2026-09-18
DYL.AX,DEEP YELLOW LTD,2026-09-18
DVP.AX,DEVELOP GLOBAL LTD,2026-09-18
GNC.AX,GRAINCORP LTD-A,2026-09-18
NUF.AX,NUFARM LTD,2026-09-18
GDG.AX,GENERATION DEVELOPMENT GROUP,2026-09-18
IRE.AX,IRESS LTD,2026-09-18
MAH.AX,MACMAHON HOLDINGS LTD,2026-09-18
APZ.AX,ASPEN GROUP,2026-09-18
PMV.AX,PREMIER INVESTMENTS LTD,2026-09-18
DMP.AX,DOMINO'S PIZZA ENTERPRISES L,2026-09-18
NCK.AX,NICK SCALI LTD,2026-09-18
BVS.AX,BRAVURA SOLUTIONS LTD,2026-09-18
ELV.AX,ELEVRA LITHIUM LTD,2026-09-18
PNR.AX,PANTORO GOLD LTD,2026-09-18
CNI.AX,CENTURIA CAPITAL GROUP,2026-09-18
NEC.AX,NINE ENTERTAINMENT CO HOLDIN,2026-09-18
MMS.AX,MCMILLAN SHAKESPEARE LTD,2026-09-18
ABB.AX,AUSSIE BROADBAND LTD,2026-09-18
JDO.AX,JUDO CAPITAL HOLDINGS LTD,2026-09-18
SBM.AX,ST BARBARA LTD,2026-09-18
SLX.AX,SILEX SYSTEMS LTD,2026-09-18
DGT.AX,DIGICO INFRASTRUCTURE REIT,2026-09-18
MGH.AX,MAAS GROUP HOLDINGS LTD,2026-09-18
SMR.AX,STANMORE RESOURCES LTD,2026-09-18
IDX.AX,INTEGRAL DIAGNOSTICS LTD,2026-09-18
IPX.AX,IPERIONX LTD,2026-09-18
CAT.AX,CATAPULT SPORTS LTD,2026-09-18
HSN.AX,HANSEN TECHNOLOGIES LTD,2026-09-18
VUL.AX,VULCAN ENERGY RESOURCES LTD,2026-09-18
MYS.AX,MYSTATE LTD,2026-09-18
