rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,IPX.AX,IPERIONX LTD,2.89,1046567552,-6.77,-5.56,-15.25,2.12,1D <= -4.0%; 20D <= -15.0%,,IperionX (ASX:IPX): Could This Titanium Technology Stock Surprise Investors? - Kalkine | IperionX (ASX:IPX): Titanium Technology Strategy Keeps Critical Minerals Focus in View - Kalkine | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st | IperionX (ASX:IPX) After Camden Deal And Defense Award Is The Valuation Too Rich - Yahoo Finance | IperionX eyes U.S. redomiciliation and board boost for American titanium push - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,KCN.AX,KINGSGATE CONSOLIDATED LTD,5.17,1375469056,-6.17,-4.44,22.22,1.68,1D <= -4.0%,,"Gold Tailwinds Lift Kingsgate Consolidated Ltd (ASX:KCN) — What Investors Are Watching - Kalkine | Why Is Kingsgate Consolidated (ASX:KCN) in Focus as It Reports record payout? - Kalkine Media | Kingsgate Consolidated (ASX:KCN) Is Down 15.0% After Chatree Plant 1 Shutdown Uncertainty - Has The Bull Case Changed? - Yahoo Finance | Gold output rises again, but this ASX miner is slipping with the market today - The Motley Fool Australia | Why Is Kingsgate Consolidated (ASX:KCN) in Focus as It Reviews mine recovery? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,OBM.AX,ORA BANDA MINING LTD,1.46,2804735488,-6.13,-9.91,15.94,0.7,1D <= -4.0%; 5D <= -8.0%,,"Ora Banda Mining (ASX:OBM) Reported Strong Full Year Earnings, Is The Stock Still Undervalued? - simplywall.st | Ora Banda Mining Ltd (ASX:OBM) Share Price | RNS News, Quotes, & Charts | OBM.AX | - Proactive financial news | What’s Driving Volatility in Ora Banda Mining (ASX:OBM) Shares Today? - Kalkine | 3 Australian Penny Stocks Backed By Real Revenue And Balance Sheet Strength - simplywall.st | Ora Banda Mining Ltd (ASX:OBM) Delivers Record FY26 Revenue of $807.5M and NPAT Up 16% - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,MAH.AX,MACMAHON HOLDINGS LTD,0.96,2068786304,-5.88,-7.69,-8.57,1.66,1D <= -4.0%,,Macmahon (ASX:MAH) Share Price Down 8% in 5 Days: Does the $485m Telfer Deal Change the Picture? - Kalkine | Macmahon Holdings (ASX:MAH) Shares Fall As Record Profit Meets Margin Questions - simplywall.st | Macmahon Holdings (ASX:MAH) Surges 12.98% as Record FY26 Performance Extends a Powerful Rally - Kalkine | ASX Penny Stocks Spotlight Macmahon Holdings And Two More Top Picks - Yahoo Finance | Insights: Macmahon Holdings Limited (ASX:MAH) - smallcaps.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,SBM.AX,ST BARBARA LTD,0.73,888891712,-5.84,7.41,35.51,1.18,1D <= -4.0%,,"ST Barbara (ASX:SBM) Jumps — What’s Behind The Today’s Move? - Kalkine | Up 61% in a year, why is this ASX 300 gold stock getting hammered on Thursday? - The Motley Fool Australia | St Barbara Limited (ASX: SBM) - thebull.com.au | While institutions invested in St Barbara Limited (ASX:SBM) benefited from last week's 23% gain, retail investors stood to gain the most - simplywall.st | This might be the 'cheapest' gold stock on the ASX - Market Index",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,WGX.AX,WESTGOLD RESOURCES LTD,6.1,5758960128,-5.57,-10.69,18.22,1.52,1D <= -4.0%; 5D <= -8.0%,,Westgold Resources (ASX: WGX): Record FY2026 Output and A$939 Million Treasury - Kalkine | Westgold Resources (ASX:WGX) Stock Rises 8% Amid Gold Sector Rally - Kalkine | Westgold Resources (ASX:WGX) Loses Momentum but Annual Gains Remain Intact - Kalkine | Can Westgold Resources (ASX:WGX) Sustain Its Latest ASX Share Price Gains? - Kalkine | Is Westgold Resources (ASX:WGX) Stock Positioned for Further Gold Sector Gains? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,WTC.AX,WISETECH GLOBAL LTD,37.65,12661810176,-5.16,-7.92,-5.66,0.92,1D <= -4.0%,,Why I think Xero and WiseTech shares are strong buys - The Motley Fool Australia | Why Is WiseTech Global (ASX:WTC) in Focus Among Technology Stocks? - Kalkine Media | WiseTech Global (ASX:WTC) Rallies as Investors Return to Australia’s Leading Technology Stocks - Kalkine | Health stocks (and WiseTech) are on a tear in buy-the-dip frenzy - AFR | WiseTech Global appoints Jeff Howard as new CFO - grafa.com,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,VUL.AX,VULCAN ENERGY RESOURCES LTD,2.58,1234944640,-5.15,-5.15,-6.18,0.84,1D <= -4.0%,,Why Is Vulcan Energy Resources Limited (ASX:VUL) in Focus? - Kalkine Media | Vulcan Energy Resources (ASX: VUL) Drops — Can the Company Regain Investor Confidence? - Kalkine | Is Vulcan Energy Resources (ASX:VUL) Undervalued Following Its Lionheart Construction Start? - simplywall.st | Vulcan Energy Resources Ltd. Actuals & Estimates (ASX:VUL) - TradingView | Vulcan Energy Resources quarterly update: Lionheart milestone reached - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,L1G.AX,L1 GROUP LTD,1.24,3169691136,-5.0,-7.79,12.97,0.79,1D <= -4.0%,,"L1 Group (ASX:L1G) Builds Momentum as Cost Synergies and Client Flows Improve - Kalkine | L1G Stock Price and Chart — ASX:L1G - TradingView | L1 Group Limited (ASX:L1G) - Shares, Dividends & News - intelligentinvestor.com.au | Why Brazilian Rare Earths, L1 Group, Silver Mines, and Xero shares are dropping today - The Motley Fool Australia | L1G Forecast — Price Target — Prediction for 2027 - TradingView",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,LTR.AX,LIONTOWN LTD,1.24,3942097664,-4.98,3.33,16.98,1.25,1D <= -4.0%,,"Buy, hold, sell: Boss Energy, Austal, Liontown shares - The Motley Fool Australia | Why Could Liontown (ASX:LTR) Enter the Lithium Stocks Spotlight? - Kalkine Media | Liontown Limited (ASX: LTR) Sinks 5.3% as More Than 30 Million Shares Change Hands - Kalkine | Liontown Share Price Cut In Half in Seven Weeks, Moves Oversold - thebull.com.au | Why Could Liontown Resources (ASX:LTR) Enter the Smallcap Stocks Spotlight? - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
