rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,ELV.AX,ELEVRA LITHIUM LTD,7.88,1521004288,-5.4,-5.97,0.25,1.09,1D <= -4.0%,,Why Elevra Lithium (ASX:ELV) Is Down 5.2% After Earnings Turnaround And New Supply Deal - simplywall.st | Elevra Lithium (ASX:ELV) Remains in Focus Following Financing Package and Portfolio Simplification Update - Kalkine | Why Is Elevra Lithium Limited (ASX:ELV) in Focus? - Kalkine Media | Elevra Lithium Limited (ASX:ELV) Transformational Financing Package to Accelerate Growth - ABN Newswire | Is Elevra Lithium (ASX:ELV) Undervalued On Its Fresh Q4 Production Update? - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,LTR.AX,LIONTOWN LTD,1.19,3783142144,-4.03,3.93,10.19,0.95,1D <= -4.0%,,"Earnings Beat: Liontown Limited Just Beat Analyst Forecasts, And Analysts Have Been Updating Their Models - simplywall.st | Buy, hold, sell: Boss Energy, Austal, Liontown shares - The Motley Fool Australia | What Does Liontown Resources (ASX:LTR)'s Maiden Annual Profit Mean for Market participants? - Kalkine Media | Liontown Ltd (ASX:LTR): Worth Watching After Today Rise? - Kalkine | What Is Behind the Heavy Trading Activity in Liontown Resources (ASX:LTR)? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,APZ.AX,ASPEN GROUP,4.75,1088862592,-2.86,-8.12,-10.21,0.68,5D <= -8.0%,,Aspen Group (ASX:APZ): Affordable Housing Portfolio Remains in Property Investor Spotlight - Kalkine | APZ Forecast — Price Target — Prediction for 2027 - TradingView | APZ Stock Price and Chart — ASX:APZ - TradingView | Up 40%. Why this surging ASX 300 real estate stock is tipped to keep outperforming - The Motley Fool Australia | Institutional investors own a significant stake of 47% in Aspen Group (ASX:APZ) - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,ZIP.AX,ZIP CO LTD,2.38,2965294080,-2.06,-7.03,-19.59,1.03,20D <= -15.0%,,Zip Co (ASX:ZIP): BNPL Growth Strategy Faces Ongoing Focus on Profitability and Credit Quality - Kalkine | How Investors May Respond To Zip Co (ASX:ZIP) Earnings Beat And A$50 Million Share Buyback Plan - simplywall.st | Is it time to get greedy with Zip shares? - The Motley Fool Australia | What Does Zip Co (ASX:ZIP)'s Record Profit and Higher Outlook Mean for Market participants? - Kalkine Media | Why I think Zip and WiseTech shares could be buys in September - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,near_miss,MI6.AX,MINERALS 260 LTD,0.8,1806179968,-1.85,-11.17,8.9,0.67,5D <= -8.0%,,"Minerals 260 (ASX:MI6) Share Price Climbs, Bullabulling Gold Project Exploration Advances - Kalkine | Is Sentiment Around Gold Quietly Redefining Minerals 260’s (ASX:MI6) Core Investment Narrative? - simplywall.st | Minerals 260 Shares Double YTD, As New Milestone Reached - thebull.com.au | Buy, hold, sell: James Hardie, Adairs, Minerals 260 shares - The Motley Fool Australia | Minerals 260 (ASX:MI6): The Small-Cap Resources Stock Suddenly Getting Attention - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,CWP.AX,CEDAR WOODS PROPERTIES LTD,6.79,577664384,-1.45,-11.13,-1.88,1.43,5D <= -8.0%,,"Cedar Woods Properties (ASX:CWP) Shares Soar 9% on Record Profit and Presales - Kalkine | Is It Time To Consider Buying Cedar Woods Properties Limited (ASX:CWP)? - Yahoo Finance | Cedar Woods Properties Director Nathan Blackburne Boosts Shareholding Following Performance Rights and Option Conversions - Kalkine Media | Cedar Woods Properties (ASX:CWP): Housing Demand, Presales and Project Pipeline Remain Key Focus Areas - Kalkine | Why I'd still buy these ASX dividend stocks as interest rates rise - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,ABB.AX,AUSSIE BROADBAND LTD,4.1,1305859712,-1.19,-6.55,-16.19,0.68,20D <= -15.0%,,"Aussie Broadband (ASX:ABB) Going Ex-Dividend: Stock Investors Should Watch Tomorrow - Kalkine | Aussie Broadband Limited (ASX:ABB) Passed Our Checks, And It's About To Pay A AU$0.036 Dividend - simplywall.st | Ex-Dividend Tomorrow: HiTech Group Australia (ASX:HIT), Aussie Broadband (ASX:ABB) and Big River Industries (ASX:BRI) in Focus - Kalkine | Why Could Aussie Broadband (ASX:ABB) Enter the Communication Stocks Spotlight? - Kalkine Media | Aussie Broadband Limited (ASX:ABB): Higher FY26 Dividend Puts September Payment on the Calendar - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,11.47,2348899328,-0.86,-5.91,-16.22,1.58,20D <= -15.0%,,WOW and Flight Centre Travel Group Ltd: 2 ASX shares to dig into - Rask Media | 11 ASX 200 shares with reaffirmed buy ratings post-results - The Motley Fool Australia | What Does Flight Centre Travel Group (ASX:FLT)'s Travel Sector Rebound Mean for Market participants? - Kalkine Media | Looking at Flight Centre Travel Group Ltd (ASX:FLT) Price Strength - Kalkine | Weak investor sentiment for cheap ASX - Morningstar Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,SGH.AX,SGH LTD,38.33,15600240640,-0.8,-3.3,-17.48,0.64,20D <= -15.0%,,SGH Limited Shares: Can Contract Wins and Execution Drive the Next Breakout? - Kalkine | SGH Ltd posts strong FY26 profit despite revenue dip - The Motley Fool Australia | SGH Ltd (ASX:SGH) Edges Higher — What Investors Should Know - Kalkine | Is Now An Opportune Moment To Examine SGH Limited (ASX:SGH)? - Yahoo Finance | Why Investors Shouldn't Be Surprised By SGH Limited's (ASX:SGH) P/E - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,MAQ.AX,MACQUARIE TECHNOLOGY GROUP L,54.37,1401317760,-0.55,-11.52,-14.2,0.72,5D <= -8.0%,,Macquarie Technology Group (ASX:MAQ): Strong Growth Story Faces a Potential Bearish Reversal - Kalkine | What Does Macquarie Technology (ASX:MAQ)'s AI Data Centre Expansion Mean for Market participants? - Kalkine Media | Macquarie Technology Group (ASX:MAQ) Shares Confront Margin Squeeze And Cash Quality Doubts - simplywall.st | The ASX data center stock flying under the radar - Morningstar Australia | Why Macquarie Technology is one of the most interesting AI infrastructure plays on the ASX - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
