rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,IPX.AX,IPERIONX LTD,2.85,1032082112,-8.36,-5.32,-17.63,1.71,1D <= -7.0%,,Iperionx (ASX:IPX) Drops Sharply - Why This ASX Stock Is Under Pressure? - Kalkine | IperionX (ASX:IPX) Among ASX 200 Losers While Market Watches U.S. Titanium Expansion Strategy - Kalkine | IperionX eyes U.S. redomiciliation and board boost for American titanium push - The Motley Fool Australia | Executive Chairman of IperionX Todd Hannigan Buys 2.0% More Shares - simplywall.st | IperionX (ASX:IPX) Pushes Ahead With a US Titanium Supply Chain - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,FFM.AX,FIREFLY METALS LTD,1.76,1353063296,-7.12,-0.28,-9.74,1.94,1D <= -7.0%,,"FireFly Metals (ASX:FFM) Falls Fast - Could This Be a Reset or a Warning Sign? - Kalkine | FireFly Metals (ASX:FFM) Shares Climbed, What Is Behind The Latest Attention? - simplywall.st | FireFly Metals (ASX:FFM): Why Shares Are Lagging Copper - Kalkine Media | Is FireFly Metals (ASX:FFM) Funded for Green Bay’s Next Phase? - Kalkine | FireFly Completes Equity Raising - GlobeNewswire",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,PNI.AX,PINNACLE INVESTMENT MANAGEME,13.93,3356921344,-5.69,-2.99,-23.18,1.21,20D <= -20.0%,,Pinnacle Investment Management Group Limited (ASX:PNI) Falls Into the Red - What Investors Should Watch Next - Kalkine | Macquarie says this ASX financial share could jump 65% - The Motley Fool Australia | Why Is Pinnacle Investment Management Group (ASX:PNI) in Focus Across Mid Cap Stocks? - Kalkine Media | Why I Won't Buy Pinnacle Investment Management Group (ASX: PNI) Shares After the FY 2026 Results - A Rich Life | Pinnacle earnings preview: Back to its long-run valuation with 50% upside on the table - Market Index,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,BRE.AX,BRAZILIAN RARE EARTHS LTD,3.57,985868800,-4.29,-2.72,-24.52,0.77,20D <= -20.0%,,Brazilian Rare Earths Limited (ASX:BRE) Comes Under Pressure - What Could Drive the Next Move? - Kalkine | Is Brazilian Rare Earths (ASX:BRE) Derisking Assets? - Kalkine Media | Brazilian Rare Earths (ASX:BRE): Is This the Rare Earth Project That Could Challenge China's Dominance? - Kalkine | Brazilian Rare Earths secures14.6M real co-funding - grafa.com | Brazilian Puts Critical Minerals Pathway in Focus (ASX:BRE) - Kalkine Media,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,ELS.AX,ELSIGHT LTD,4.87,1084044800,-4.13,2.31,-24.96,0.87,20D <= -20.0%,,"Elsight Ltd. (ASX:ELS) Comes Under Pressure - What Could Drive the Next Move? - Kalkine | State Street Corporation Ends Substantial Holding in Elsight Limited (ASX:ELS) - Kalkine Media | Defence Duel: Are Elsight or DroneShield shares a better buy right now? - The Motley Fool Australia | Elsight Limited Applies to Quote 210,000 New Shares Following Option Exercises - Kalkine | Buy, hold, sell: Beach Energy, Elsight, South32 shares - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,XRO.AX,XERO LTD,68.79,12152549376,-3.96,-14.77,-10.89,1.09,5D <= -12.0%,,"Down 13% in a week: Is the Xero share price finally cheap enough to buy? - The Motley Fool Australia | Down 54% in a year, are Xero shares now a buy, hold, or sell? - The Motley Fool Australia | Xero (ASX:XRO) Shares Jump as Cloud Accounting Platform Remains in Focus - Kalkine | Why Is Xero (ASX:XRO) Suddenly Back in Tech Stock Focus? - Kalkine Media | Xero (ASX:XRO) share price falls 3% as CEO sells shares - Rask Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,ZIP.AX,ZIP CO LTD,2.21,2753487104,-3.07,-7.14,-20.22,0.82,20D <= -20.0%,,Zip Co No Longer Has Australian Retirement Trust as Substantial Holder Following Share Sales - Kalkine | Zip Co reports record FY26 earnings and outlines growth strategy - The Motley Fool Australia | Does Zip Co (ASX:ZIP) Buyback Reflect Margin Strength or Limited Reinvestment Opportunities? - simplywall.st | Why Zip shares took investors on a wild ride in August - The Motley Fool Australia | Why Zip Co (ASX:ZIP) Shares Are Trading Lower Today? - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,NAN.AX,NANOSONICS LTD,2.75,822004928,-2.48,0.0,-22.54,0.45,20D <= -20.0%,,"Could Nanosonics (ASX:NAN) Be One of the ASX's Most Interesting Healthcare Stories? - Kalkine | Nanosonics Ltd (ASX:NAN) Shares Hit Fresh 52-Week Low: What Investors Should Know - Kalkine | Nanosonics Limited (ASX:NAN) is favoured by institutional owners who hold 72% of the company - Yahoo Finance | The five-year underlying earnings growth at Nanosonics (ASX:NAN) is promising, but the shareholders are still in the red over that time - simplywall.st | Nanosonics Ltd (ASX:NAN) Stock on Investors' Radar: Why Is the Share Price Moving? - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,SDR.AX,SITEMINDER LTD,2.77,784145088,-2.46,-2.12,-28.05,0.75,20D <= -20.0%,,2 top ASX shares to buy and hold for the next decade - The Motley Fool Australia | SiteMinder (ASX:SDR) Shares Slump 11% Despite Narrowing Losses — What's Behind the Drop? - Kalkine | Market is misinterpreting AI impact on cheap ASX share - Morningstar Australia | Does SiteMinder (ASX:SDR) Finally Have Its Profit Path? - Kalkine Media | SiteMinder (ASX:SDR) Shares Could Be 18.3% Below Fair Value After Trading Rally - simplywall.st,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,NEC.AX,NINE ENTERTAINMENT CO HOLDIN,0.79,1252752128,-1.86,-18.06,-15.95,1.9,5D <= -12.0%,,"Nine Entertainment (ASX:NEC): WIN Group Lifts Voting Power to 25.94% After Fresh Share Buys - Kalkine | What Does Nine Entertainment Co. Holdings Limited's (ASX:NEC) Share Price Indicate? - simplywall.st | Buy, hold, sell: Nine Entertainment, Wesfarmers, BHP shares - The Motley Fool Australia | Nine Entertainment Rebounds Above 2% (ASX:NEC): Is the Market Repricing the Media Stock? - Kalkine | Are Nine Entertainment or News Corp shares a better buy? - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
