ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-17
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-17
WBC.AX,WESTPAC BANKING CORP,2026-09-17
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-17
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-17
CSL.AX,CSL LTD,2026-09-17
MQG.AX,MACQUARIE GROUP LTD,2026-09-17
WES.AX,WESFARMERS LTD,2026-09-17
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-17
RIO.AX,RIO TINTO LTD,2026-09-17
TLS.AX,TELSTRA GROUP LTD,2026-09-17
GMG.AX,GOODMAN GROUP,2026-09-17
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-17
TCL.AX,TRANSURBAN GROUP,2026-09-17
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-17
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-17
COL.AX,COLES GROUP LTD,2026-09-17
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-17
STO.AX,SANTOS LTD,2026-09-17
EVN.AX,EVOLUTION MINING LTD,2026-09-17
FMG.AX,FORTESCUE LTD,2026-09-17
BXB.AX,BRAMBLES LTD,2026-09-17
S32.AX,SOUTH32 LTD,2026-09-17
SUN.AX,SUNCORP GROUP LTD,2026-09-17
CPU.AX,COMPUTERSHARE LTD,2026-09-17
ORG.AX,ORIGIN ENERGY LTD,2026-09-17
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-17
SCG.AX,SCENTRE GROUP,2026-09-17
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-17
PLS.AX,PLS GROUP LTD,2026-09-17
APA.AX,APA GROUP,2026-09-17
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-17
QAN.AX,QANTAS AIRWAYS LTD,2026-09-17
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-17
BSL.AX,BLUESCOPE STEEL LTD,2026-09-17
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-17
XRO.AX,XERO LTD,2026-09-17
TLC.AX,LOTTERY CORP LTD/THE,2026-09-17
ASX.AX,ASX LTD,2026-09-17
ALQ.AX,ALS LTD,2026-09-17
ORI.AX,ORICA LTD,2026-09-17
ALD.AX,AMPOL LTD,2026-09-17
SGP.AX,STOCKLAND,2026-09-17
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-17
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-17
NXT.AX,NEXTDC LTD,2026-09-17
VCX.AX,VICINITY CENTRES,2026-09-17
MIN.AX,MINERAL RESOURCES LTD,2026-09-17
SHL.AX,SONIC HEALTHCARE LTD,2026-09-17
GPT.AX,GPT GROUP,2026-09-17
COH.AX,COCHLEAR LTD,2026-09-17
PME.AX,PRO MEDICUS LTD,2026-09-17
TNE.AX,TECHNOLOGY ONE LTD,2026-09-17
PRU.AX,PERSEUS MINING LTD,2026-09-17
CHC.AX,CHARTER HALL GROUP,2026-09-17
CAR.AX,CAR GROUP LTD,2026-09-17
GMD.AX,GENESIS MINERALS LTD,2026-09-17
REA.AX,REA GROUP LTD,2026-09-17
JBH.AX,JB HI-FI LTD,2026-09-17
MGR.AX,MIRVAC GROUP,2026-09-17
SGH.AX,SGH LTD,2026-09-17
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-17
WTC.AX,WISETECH GLOBAL LTD,2026-09-17
WHC.AX,WHITEHAVEN COAL LTD,2026-09-17
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-17
VAU.AX,VAULT MINERALS LTD,2026-09-17
DNL.AX,DYNO NOBEL LTD,2026-09-17
AMP.AX,AMP LTD,2026-09-17
DXS.AX,DEXUS/AU,2026-09-17
SDF.AX,STEADFAST GROUP LTD,2026-09-17
CMM.AX,CAPRICORN METALS LTD,2026-09-17
ANN.AX,ANSELL LTD,2026-09-17
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-17
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-17
RRL.AX,REGIS RESOURCES LTD,2026-09-17
GGP.AX,GREATLAND RESOURCES LTD,2026-09-17
CGF.AX,CHALLENGER LTD,2026-09-17
HUB.AX,HUB24 LTD,2026-09-17
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-17
AGL.AX,AGL ENERGY LTD,2026-09-17
A2M.AX,A2 MILK CO LTD,2026-09-17
CDA.AX,CODAN LTD,2026-09-17
IGO.AX,IGO LTD,2026-09-17
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-17
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-17
WOR.AX,WORLEY LTD,2026-09-17
SEK.AX,SEEK LTD,2026-09-17
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-17
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-17
DOW.AX,DOWNER EDI LTD,2026-09-17
REH.AX,REECE LTD,2026-09-17
SGM.AX,SIMS LTD,2026-09-17
MP1.AX,MEGAPORT LTD,2026-09-17
PDN.AX,PALADIN ENERGY LTD,2026-09-17
EMR.AX,EMERALD RESOURCES NL,2026-09-17
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-17
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-17
AUB.AX,AUB GROUP LTD,2026-09-17
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-17
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-17
NWH.AX,NRW HOLDINGS LTD,2026-09-17
BRG.AX,BREVILLE GROUP LTD,2026-09-17
NHC.AX,NEW HOPE CORP LTD,2026-09-17
NHF.AX,NIB HOLDINGS LTD,2026-09-17
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-17
MTS.AX,METCASH LTD,2026-09-17
CNU.AX,CHORUS LTD,2026-09-17
ZIP.AX,ZIP CO LTD,2026-09-17
RGN.AX,REGION GROUP,2026-09-17
TPG.AX,TPG TELECOM LTD,2026-09-17
MND.AX,MONADELPHOUS GROUP LTD,2026-09-17
ILU.AX,ILUKA RESOURCES LTD,2026-09-17
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-17
RSG.AX,RESOLUTE MINING LTD,2026-09-17
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-17
NWL.AX,NETWEALTH GROUP LTD,2026-09-17
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-17
LTR.AX,LIONTOWN LTD,2026-09-17
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-17
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-17
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-17
HDN.AX,HOMECO DAILY NEEDS REIT,2026-09-17
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-17
BGL.AX,BELLEVUE GOLD LTD,2026-09-17
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-17
ALX.AX,ATLAS ARTERIA,2026-09-17
PPT.AX,PERPETUAL LTD,2026-09-17
TAH.AX,TABCORP HOLDINGS LTD,2026-09-17
SRG.AX,SRG GLOBAL LTD,2026-09-17
ALK.AX,ALKANE RESOURCES LTD,2026-09-17
PRN.AX,PERENTI LTD,2026-09-17
OBM.AX,ORA BANDA MINING LTD,2026-09-17
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-17
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-17
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-17
DDR.AX,DICKER DATA LTD,2026-09-17
DRR.AX,DETERRA ROYALTIES LTD,2026-09-17
EQR.AX,EQ RESOURCES LTD,2026-09-17
4DX.AX,4DMEDICAL LTD,2026-09-17
LLC.AX,LENDLEASE GROUP,2026-09-17
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-17
ORA.AX,ORORA LTD,2026-09-17
CYL.AX,CATALYST METALS LTD,2026-09-17
LOV.AX,LOVISA HOLDINGS LTD,2026-09-17
IMD.AX,IMDEX LTD,2026-09-17
WPR.AX,WAYPOINT REIT,2026-09-17
