rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,candidate,ZIP.AX,ZIP CO LTD,2.57,3202018816.0,-15.74,-5.86,1.98,2.79,1D <= -7.0%,,"How high do UBS and Macquarie think Zip shares will go? - The Motley Fool Australia | Does Zip Co (ASX:ZIP) Buyback Reflect Margin Strength or Limited Reinvestment Opportunities? - simplywall.st | Zip Co (ASX:ZIP) Delivers Record FY26 Results as Investors Assess Growth Outlook and Profitability Momentum - Kalkine | Zip Co Limited announces an Equity Buyback for 79,680,755 shares, representing 6.4% for AUD 50 million. - marketscreener.com | Zip Co reports record FY26 earnings and outlines growth strategy - The Motley Fool Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,candidate,TLX.AX,TELIX PHARMACEUTICALS LTD,15.62,5291697664.0,-10.13,-6.63,6.55,2.74,1D <= -7.0%,downgrade,Why were Telix shares just downgraded? - The Motley Fool Australia | Telix Pharmaceuticals (ASX:TLX) Shares Cool As Profit Momentum Meets Pipeline Delays - simplywall.st | Telix Pharmaceuticals (ASX:TLX) Balances Growth Momentum with Pipeline and Regulatory Focus - Kalkine | The ASX’s most shorted stocks before earnings - Morningstar Australia | Telix shares are tumbling. Is the stock finally at fair value? - The Motley Fool Australia,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,candidate,DGT.AX,DIGICO INFRASTRUCTURE REIT,2.53,1412539008.0,-9.32,-9.96,-1.17,4.43,1D <= -7.0%,,DigiCo Infrastructure REIT (ASX:DGT) Shares Slide As Funding Risks Linger - simplywall.st | DigiCo Infrastructure REIT (ASX:DGT) Brings Forward SYD1 Expansion as FY26 Results Exceed Guidance - Kalkine | DigiCo Infrastructure REIT (ASX:DGT) Names New Leadership Team to Drive Data Centre Growth Strategy - Kalkine | Is DigiCo Infrastructure REIT (ASX:DGT) Reinforcing Governance Standards? - Kalkine Media | DigiCo Infrastructure REIT Shares Add 25% To Move Positive YTD: The Latest - thebull.com.au,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,candidate,RDX.AX,REDOX LTD/AUSTRALIA,3.29,1727517952.0,-8.36,-14.1,-10.35,2.61,1D <= -7.0%; 5D <= -12.0%,,"Redox Limited (ASX:RDX) Share Price Rises: Here's What's Behind the Move - Kalkine | Could Redox Limited (ASX:RDX) Strengthen Confidence With Its Governance Update? - Kalkine Media | Redox Limited (ASX:RDX) Chief Operating Officer Richard Coneliano, the company's largest shareholder sees 6.5%reduction in holdings value - simplywall.st | RDX Forecast — Price Target — Prediction for 2027 - TradingView | Undervalued ASX founder-led companies - Morningstar Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
5,candidate,SUL.AX,SUPER RETAIL GROUP LTD,13.35,3014783744.0,-7.61,0.68,5.45,1.84,1D <= -7.0%,,"Super Retail Group (ASX:SUL) Outlook: FY27 Trading Momentum Builds as Project Ignite Continues - Kalkine | Super Retail Group grows sales in FY26, dividend maintained amid growth plans - The Motley Fool Australia | Super Retail Group (ASX:SUL) Shares Reflect Revenue Growth And Margin Strain - simplywall.st | Super Retail (ASX:SUL) share price soars 16% on FY26 result, trading update - Rask Media | Super Retail shares surge 15% as FY26 profit beats expectations - Yahoo Finance Australia",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,candidate,ING.AX,INGHAMS GROUP LTD,2.06,765659968.0,-7.21,-7.21,-7.21,3.02,1D <= -7.0%,,"Inghams Group (ASX:ING) Shares Face Fresh Doubts After Margin Collapse - simplywall.st | Inghams Group FY26 earnings: volume growth, headwinds, and FY27 outlook - The Motley Fool Australia | Inghams Group (ASX:ING) Stock Watch: Making Sense of the Latest Price Move - Kalkine | How Investors May Respond To Inghams Group (ASX:ING) Earnings Setback And Dividend Cut - Yahoo Finance | Inghams Group (ASX:ING) Shares Surge Higher Amid Positive Consumer Staples Momentum - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,candidate,MP1.AX,MEGAPORT LTD,18.38,4454733312.0,-4.82,-14.43,-0.49,2.02,5D <= -12.0%,,"Megaport Limited (ASX:MP1) Just Reported Annual Earnings And Analysts Are Lifting Their Estimates - simplywall.st | Megaport (ASX:MP1) Expands AI Infrastructure Strategy with Major Compute Investment Plans - Kalkine | Up 155% since April, is it too late to buy Megaport shares today? - The Motley Fool Australia | AI driving growth for ASX tech share - Morningstar Australia | ASX Movers Today: Megaport (ASX:MP1) in focus as next catalyst watch reshapes Technology Stocks - Kalkine Media",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,candidate,TPW.AX,TEMPLE & WEBSTER GROUP LTD,4.3,501150944.0,-4.66,-17.15,-12.78,1.96,5D <= -12.0%,downgrade,Temple & Webster (ASX:TPW) Shares Reset As Margins Thin And Earnings Slip - simplywall.st | Temple & Webster earnings: Record revenue and profit growth in FY26 - The Motley Fool Australia | Temple & Webster Group (ASX:TPW) Advances Amid Retail Sector Strength - Kalkine | 10 ASX 200 shares downgraded by analysts this week - The Motley Fool Australia | Temple & Webster Group Ltd (ASX:TPW) Share Price Falls as Investors Track Profitability and Growth Balance - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,candidate,WBT.AX,WEEBIT NANO LTD,3.99,959306880.0,-4.09,-10.14,-23.85,1.03,20D <= -20.0%,,"Why Investors Are Watching Weebit Nano Ltd (ASX:WBT) in the Tech Sector - Kalkine | Why Capstone Copper, Weebit Nano, and Fortescue shares are turning heads on Friday - The Motley Fool Australia | Stock of the day: Weebit Nano - ig.com | Weebit Nano (ASX:WBT): Why Is Stock Plunging Today? - Kalkine | Stock of the day: Weebit Nano - ig.com",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,candidate,IPH.AX,IPH LTD,3.6,922655296.0,-4.0,-13.04,-10.22,3.1,5D <= -12.0%,,"IPH Ltd FY26 earnings: resilient profit growth and higher dividend - The Motley Fool Australia | IPH (ASX:IPH) Income Profile: Key Factors Behind Its Dividend Sustainability - Kalkine | IPH (ASX:IPH)Dividend Yield in Focus, Stock on Radar of Income Investors - Kalkine | IPH Ltd (ASX:IPH): Can FY26 Profit Growth and a Higher Dividend Strengthen This ASX 300 Stock? - Kalkine Media | ASX Dividend Stocks: A 10-11% yielder that's become a dividend trap - Market Index",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
