ticker,company,observed_on
BHP.AX,BHP GROUP LTD,2026-09-13
CBA.AX,COMMONWEALTH BANK OF AUSTRAL,2026-09-13
WBC.AX,WESTPAC BANKING CORP,2026-09-13
NAB.AX,NATIONAL AUSTRALIA BANK LTD,2026-09-13
ANZ.AX,ANZ GROUP HOLDINGS LTD,2026-09-13
MQG.AX,MACQUARIE GROUP LTD,2026-09-13
WES.AX,WESFARMERS LTD,2026-09-13
CSL.AX,CSL LTD,2026-09-13
RIO.AX,RIO TINTO LTD,2026-09-13
WDS.AX,WOODSIDE ENERGY GROUP LTD,2026-09-13
GMG.AX,GOODMAN GROUP,2026-09-13
TLS.AX,TELSTRA GROUP LTD,2026-09-13
WOW.AX,WOOLWORTHS GROUP LTD,2026-09-13
TCL.AX,TRANSURBAN GROUP,2026-09-13
QBE.AX,QBE INSURANCE GROUP LTD,2026-09-13
ALL.AX,ARISTOCRAT LEISURE LTD,2026-09-13
NST.AX,NORTHERN STAR RESOURCES LTD,2026-09-13
COL.AX,COLES GROUP LTD,2026-09-13
EVN.AX,EVOLUTION MINING LTD,2026-09-13
STO.AX,SANTOS LTD,2026-09-13
FMG.AX,FORTESCUE LTD,2026-09-13
BXB.AX,BRAMBLES LTD,2026-09-13
S32.AX,SOUTH32 LTD,2026-09-13
SUN.AX,SUNCORP GROUP LTD,2026-09-13
CPU.AX,COMPUTERSHARE LTD,2026-09-13
ORG.AX,ORIGIN ENERGY LTD,2026-09-13
SCG.AX,SCENTRE GROUP,2026-09-13
IAG.AX,INSURANCE AUSTRALIA GROUP,2026-09-13
PLS.AX,PLS GROUP LTD,2026-09-13
SOL.AX,WASHINGTON H SOUL PATTINSON,2026-09-13
APA.AX,APA GROUP,2026-09-13
QAN.AX,QANTAS AIRWAYS LTD,2026-09-13
SIG.AX,SIGMA HEALTHCARE LTD,2026-09-13
LYC.AX,LYNAS RARE EARTHS LTD,2026-09-13
BSL.AX,BLUESCOPE STEEL LTD,2026-09-13
MPL.AX,MEDIBANK PRIVATE LTD,2026-09-13
XRO.AX,XERO LTD,2026-09-13
ASX.AX,ASX LTD,2026-09-13
TLC.AX,LOTTERY CORP LTD/THE,2026-09-13
ORI.AX,ORICA LTD,2026-09-13
ALQ.AX,ALS LTD,2026-09-13
SFR.AX,SANDFIRE RESOURCES LTD,2026-09-13
MIN.AX,MINERAL RESOURCES LTD,2026-09-13
NXT.AX,NEXTDC LTD,2026-09-13
SGP.AX,STOCKLAND,2026-09-13
RHC.AX,RAMSAY HEALTH CARE LTD,2026-09-13
ALD.AX,AMPOL LTD,2026-09-13
VCX.AX,VICINITY CENTRES,2026-09-13
COH.AX,COCHLEAR LTD,2026-09-13
CAR.AX,CAR GROUP LTD,2026-09-13
SHL.AX,SONIC HEALTHCARE LTD,2026-09-13
PME.AX,PRO MEDICUS LTD,2026-09-13
PRU.AX,PERSEUS MINING LTD,2026-09-13
TNE.AX,TECHNOLOGY ONE LTD,2026-09-13
GMD.AX,GENESIS MINERALS LTD,2026-09-13
GPT.AX,GPT GROUP,2026-09-13
CHC.AX,CHARTER HALL GROUP,2026-09-13
SGH.AX,SGH LTD,2026-09-13
MGR.AX,MIRVAC GROUP,2026-09-13
RMS.AX,RAMELIUS RESOURCES LTD,2026-09-13
REA.AX,REA GROUP LTD,2026-09-13
JBH.AX,JB HI-FI LTD,2026-09-13
WHC.AX,WHITEHAVEN COAL LTD,2026-09-13
VAU.AX,VAULT MINERALS LTD,2026-09-13
WTC.AX,WISETECH GLOBAL LTD,2026-09-13
AZJ.AX,AURIZON HOLDINGS LTD,2026-09-13
CMM.AX,CAPRICORN METALS LTD,2026-09-13
DNL.AX,DYNO NOBEL LTD,2026-09-13
AMP.AX,AMP LTD,2026-09-13
SDF.AX,STEADFAST GROUP LTD,2026-09-13
DXS.AX,DEXUS/AU,2026-09-13
RRL.AX,REGIS RESOURCES LTD,2026-09-13
ANN.AX,ANSELL LTD,2026-09-13
BEN.AX,BENDIGO AND ADELAIDE BANK,2026-09-13
GGP.AX,GREATLAND RESOURCES LTD,2026-09-13
CWY.AX,CLEANAWAY WASTE MANAGEMENT L,2026-09-13
WGX.AX,WESTGOLD RESOURCES LTD,2026-09-13
IGO.AX,IGO LTD,2026-09-13
HUB.AX,HUB24 LTD,2026-09-13
CGF.AX,CHALLENGER LTD,2026-09-13
AGL.AX,AGL ENERGY LTD,2026-09-13
TLX.AX,TELIX PHARMACEUTICALS LTD,2026-09-13
CDA.AX,CODAN LTD,2026-09-13
PDN.AX,PALADIN ENERGY LTD,2026-09-13
EDV.AX,ENDEAVOUR GROUP LTD/AUSTRALI,2026-09-13
A2M.AX,A2 MILK CO LTD,2026-09-13
DOW.AX,DOWNER EDI LTD,2026-09-13
WOR.AX,WORLEY LTD,2026-09-13
SEK.AX,SEEK LTD,2026-09-13
MP1.AX,MEGAPORT LTD,2026-09-13
VNT.AX,VENTIA SERVICES GROUP PTY LT,2026-09-13
BOQ.AX,BANK OF QUEENSLAND LTD,2026-09-13
REH.AX,REECE LTD,2026-09-13
SGM.AX,SIMS LTD,2026-09-13
EMR.AX,EMERALD RESOURCES NL,2026-09-13
PDI.AX,PREDICTIVE DISCOVERY LTD,2026-09-13
TWE.AX,TREASURY WINE ESTATES LTD,2026-09-13
APE.AX,EAGERS AUTOMOTIVE LTD,2026-09-13
AUB.AX,AUB GROUP LTD,2026-09-13
NWH.AX,NRW HOLDINGS LTD,2026-09-13
VEA.AX,VIVA ENERGY GROUP LTD,2026-09-13
BRG.AX,BREVILLE GROUP LTD,2026-09-13
NHC.AX,NEW HOPE CORP LTD,2026-09-13
NHF.AX,NIB HOLDINGS LTD,2026-09-13
RWC.AX,RELIANCE WORLDWIDE CORP LTD,2026-09-13
CNU.AX,CHORUS LTD,2026-09-13
MTS.AX,METCASH LTD,2026-09-13
ILU.AX,ILUKA RESOURCES LTD,2026-09-13
RSG.AX,RESOLUTE MINING LTD,2026-09-13
ZIP.AX,ZIP CO LTD,2026-09-13
RGN.AX,REGION GROUP,2026-09-13
MND.AX,MONADELPHOUS GROUP LTD,2026-09-13
DBI.AX,DALRYMPLE BAY INFRASTRUCTURE,2026-09-13
NWL.AX,NETWEALTH GROUP LTD,2026-09-13
CLW.AX,CHARTER HALL LONG WALE REIT,2026-09-13
TPG.AX,TPG TELECOM LTD,2026-09-13
LTR.AX,LIONTOWN LTD,2026-09-13
BGL.AX,BELLEVUE GOLD LTD,2026-09-13
YAL.AX,YANCOAL AUSTRALIA LTD,2026-09-13
NEU.AX,NEUREN PHARMACEUTICALS LTD,2026-09-13
HVN.AX,HARVEY NORMAN HOLDINGS LTD,2026-09-13
CQR.AX,CHARTER HALL RETAIL REIT,2026-09-13
SRL.AX,SUNRISE ENERGY METALS LTD,2026-09-13
PNI.AX,PINNACLE INVESTMENT MANAGEME,2026-09-13
OBM.AX,ORA BANDA MINING LTD,2026-09-13
BWP.AX,BWP PROPERTY GROUP LTD,2026-09-13
ALX.AX,ATLAS ARTERIA,2026-09-13
PPT.AX,PERPETUAL LTD,2026-09-13
TAH.AX,TABCORP HOLDINGS LTD,2026-09-13
SRG.AX,SRG GLOBAL LTD,2026-09-13
ALK.AX,ALKANE RESOURCES LTD,2026-09-13
PRN.AX,PERENTI LTD,2026-09-13
CIP.AX,CENTURIA INDUSTRIAL REIT,2026-09-13
FLT.AX,FLIGHT CENTRE TRAVEL GROUP L,2026-09-13
SUL.AX,SUPER RETAIL GROUP LTD,2026-09-13
