rank,signal_type,ticker,company,last_price,market_cap_aud_approx,one_day_pct,five_day_pct,twenty_day_pct,volume_spike_vs_20d,trigger,avoid_flags,news_headlines,openai_score,openai_classification,openai_rationale,manual_review_notes,error
1,near_miss,VSL.AX,VULCAN STEEL LTD,5.17,757559872.0,-6.34,-4.96,3.61,1.95,1D <= -4.0%,,"Why Vulcan Steel (ASX:VSL) Stock Is Surging 10.7% Today: Key Catalysts Investors Should Know - Kalkine | VSL Forecast — Price Target — Prediction for 2027 - TradingView | Why Civmec, Fenix, Paladin Energy, and Vulcan Steel shares are pushing higher today - The Motley Fool Australia | Vulcan Steel (ASX:VSL) on the Move: What's Behind the Interest in This Metal Distributor? - Kalkine | Vulcan Steel Limited (ASX:VSL) - Shares, Dividends & News - intelligentinvestor.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
2,near_miss,SUL.AX,SUPER RETAIL GROUP LTD,13.11,2960585216.0,-5.48,-2.96,1.63,1.74,1D <= -4.0%,,Is It Too Late To Consider Buying Super Retail Group Limited (ASX:SUL)? - simplywall.st | Super Retail Group (ASX:SUL) Gains Ground With Discretionary Spending Themes in Focus - Kalkine | ASX retail share expected to recover despite choppy conditions - Morningstar Australia | Macquarie Group Declares 5.42% Stake in Super Retail Group as Substantial Holder - Kalkine Media | Super Retail Group Limited Revenue Breakdown – ASX:SUL - TradingView,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
3,near_miss,EHL.AX,EMECO HOLDINGS LTD,1.03,536517856.0,-5.05,5.61,6.15,0.7,1D <= -4.0%,,"Emeco Holdings (ASX:EHL): Mining Equipment Rental Business Tests Its Next Growth Phase - Kalkine | 3 ASX Penny Stocks With Market Caps Under A$3B To Consider - simplywall.st | Insights: Emeco Holdings Ltd (ASX:EHL) - smallcaps.com.au | Why Air New Zealand, Emeco, ResMed, and Westgold shares are tumbling today - The Motley Fool Australia | Emeco Holdings Limited (ASX:EHL) - intelligentinvestor.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
4,near_miss,CPU.AX,COMPUTERSHARE LTD,40.61,,-4.47,-6.13,4.24,6.61,1D <= -4.0%,,"Computershare Shares (ASX:CPU) Finish Higher: Looking Beyond a Single Trading Session - Kalkine | How Are Medibank (ASX:MPL), ASX (ASX:ASX), Computershare (ASX:CPU) and GQG Partners (ASX:GQG) Responding to Sector Change? - Kalkine Media | Unpleasant Surprises Could Be In Store For Computershare Limited's (ASX:CPU) Shares - simplywall.st | ASX Dividend Stocks Including Computershare For Income Growth - Yahoo Finance | Most Overbought Stocks on the ASX (TEA, MP1, WES, SSM, CPU) - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent. Market cap temporarily unavailable; retained because ticker is in the broad A300 universe.",
5,near_miss,LOV.AX,LOVISA HOLDINGS LTD,25.01,2769569792.0,-4.47,-4.51,11.06,1.17,1D <= -4.0%,,"Lovisa Holdings Ltd (ASX:LOV) Stock: Market Dynamics & Long-Term Value Assessment - Kalkine | 3 ASX Stocks That May Be Undervalued By Up To 49.7% - simplywall.st | How Are Lovisa (ASX:LOV), Nick Scali (ASX:NCK), CAR Group (ASX:CAR) and REA Group (ASX:REA) Responding to Sector Change? - Kalkine Media | Lovisa Holdings Ltd. Revenue Breakdown – ASX:LOV - TradingView | Lovisa Holdings Ltd (ASX:LOV) Momentum Builds on Sector Strength - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
6,near_miss,DXI.AX,DEXUS INDUSTRIA REIT,2.35,734341760.0,-4.47,-4.47,-3.29,2.48,1D <= -4.0%,,Dexus Industria REIT (ASX:DXI): Industrial Property Strength Meets Interest Rate Pressure - Kalkine | Dexus Industria REIT (ASX:DXI): What Has Changed? - Kalkine Media | Morningstar initiates on ASX income play - Morningstar Australia | S&P/ASX 200: Why Is Dexus Industria REIT (ASX:DXI) Governance in Focus? - Kalkine Media | Is It Time To Rethink Dexus Industria REIT (ASX:DXI) After Recent Price Rebound? - Yahoo Finance,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
7,near_miss,IEL.AX,IDP EDUCATION LTD,2.17,603989632.0,-2.69,-9.58,-3.56,0.93,5D <= -8.0%,,"IDP Education (ASX:IEL): Turnaround Strategy Tests Recovery Potential - Kalkine | We remove our Moat Rating from ASX listed share - Morningstar Australia | IDP Education Ltd (ASX:IEL) Stock Position: Weighing Risks & Opportunities - Kalkine | The three-year shareholder returns and company earnings persist lower as IDP Education (ASX:IEL) stock falls a further 11% in past week - simplywall.st | Down 90%, what is going on with IDP Education shares? - thebull.com.au",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
8,near_miss,JDO.AX,JUDO CAPITAL HOLDINGS LTD,0.93,1042794432.0,-2.62,-10.14,0.54,1.55,5D <= -8.0%,downgrade,"Judo Capital (ASX:JDO) Eases as SME Lending Outlook Faces Rate Headwinds - Kalkine | Fears of deteriorating loan quality sends bank share plummeting - Morningstar Australia | Sell Judo shares and 2 other ASX small caps: experts - The Motley Fool Australia | Judo shares crash 46% on shock downgrade, now at its cheapest valuation ever - Market Index | Judo Capital (ASX:JDO) cuts FY26 profit guidance after three loans go bad - Stocks Down Under",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
9,near_miss,WBC.AX,WESTPAC BANKING CORP,35.37,120785272832.0,-0.9,-8.2,-3.31,0.93,5D <= -8.0%,,"Big 4 earnings: Morningstar analysts form view on impact of slowing housing market - Morningstar Australia | Westpac shares are plunging: What's spooking investors? - The Motley Fool Australia | Westpac (ASX:WBC) share price in focus on 3% profit growth in FY26 Q3 - Rask Media | How far can the prices of WBC, ANZ, CBA, and NAB shares stretch before valuations snap back? - Livewire Markets | Westpac (ASX:WBC) Slides asMortgageWeakness Weighs on Banking Outlook - Kalkine",,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
10,near_miss,CQE.AX,CHARTER HALL SOCIAL INFRASTR,2.53,938905152.0,-0.78,-8.66,-3.07,2.07,5D <= -8.0%,,Charter Hall Social Infrastructure REIT (ASX:CQE) Share Price in Focus as Real Estate Stocks Slip - Kalkine | Charter Hall Social Infrastructure REIT (ASX:CQE) Falls as Rate Pressure Persists - Kalkine | Undervalued REIT delivers strong earnings growth - Morningstar Australia | Charter Hall Social Infrastructure REIT (ASX:CQE) Shares Trail Asset Backing Despite Solid Income - simplywall.st | Charter Hall Social Infrastructure REIT (ASX:CQE) Slides As Rate Anxiety Pressures Property - Kalkine,,not_run,OpenAI classification not run. Add OPENAI_API_KEY to GitHub Actions secrets to enable it.,"Check ASX announcements, debt, liquidity, free cash flow, regulatory issues and whether the event is temporary or permanent.",
